video_name,qp,preset,E_process_single_J,P_process_W,t_process_single_s,E_load_total_J,t_load_total_s,P_load_W,E_idle_total_J,t_idle_total_s,P_idle_W
FourPeople_270p,22,1,0.6945,3.47,0.200,19.8329,2.000,9.92,12.8884,2.000,6.45
FourPeople_270p,22,2,0.7069,4.24,0.167,14.9732,1.500,9.98,8.6111,1.500,5.74
FourPeople_270p,22,3,0.9511,5.71,0.167,10.0117,1.000,10.01,4.3048,1.000,4.30
FourPeople_270p,22,4,0.9509,5.70,0.167,10.0095,1.000,10.01,4.3043,1.000,4.30
FourPeople_270p,27,1,0.6951,4.17,0.167,14.8643,1.500,9.91,8.6083,1.500,5.74
FourPeople_270p,27,2,0.9399,5.64,0.167,9.9455,1.000,9.95,4.3061,1.000,4.31
FourPeople_270p,27,3,0.9483,5.69,0.167,9.9966,1.000,10.00,4.3070,1.000,4.31
FourPeople_270p,27,4,0.9489,5.69,0.167,9.9961,1.000,10.00,4.3025,1.000,4.30
FourPeople_270p,32,1,0.8014,5.61,0.143,9.9129,1.000,9.91,4.3032,1.000,4.30
FourPeople_270p,32,2,0.7021,4.21,0.167,14.9145,1.500,9.95,8.5955,1.500,5.73
FourPeople_270p,32,3,0.9509,5.71,0.167,9.9959,1.000,10.00,4.2906,1.000,4.29
FourPeople_270p,32,4,0.9466,5.68,0.167,9.9612,1.000,9.96,4.2814,1.000,4.28
FourPeople_270p,37,1,0.9366,5.62,0.167,9.8916,1.000,9.89,4.2719,1.000,4.27
FourPeople_270p,37,2,0.6958,3.48,0.200,19.7895,2.001,9.89,12.8310,2.001,6.41
FourPeople_270p,37,3,0.9431,5.66,0.167,9.9372,1.000,9.94,4.2786,1.000,4.28
FourPeople_270p,37,4,0.9452,5.67,0.167,9.9579,1.000,9.96,4.2865,1.000,4.29
ParkJoy_270p,22,1,0.8244,4.40,0.188,15.1604,1.500,10.11,8.5648,1.500,5.71
ParkJoy_270p,22,2,0.9738,5.84,0.167,10.1311,1.000,10.13,4.2883,1.000,4.29
ParkJoy_270p,22,3,1.0830,4.33,0.250,15.0807,1.500,10.05,8.5827,1.500,5.72
ParkJoy_270p,22,4,0.9294,4.34,0.214,15.0795,1.499,10.06,8.5740,1.499,5.72
ParkJoy_270p,27,1,0.7104,4.26,0.167,14.9887,1.500,9.99,8.5952,1.500,5.73
ParkJoy_270p,27,2,0.8087,4.31,0.188,15.0578,1.500,10.04,8.5884,1.500,5.73
ParkJoy_270p,27,3,1.0060,5.17,0.200,12.0499,1.200,10.04,6.0141,1.200,4.87
ParkJoy_270p,27,4,0.9256,4.32,0.214,15.0752,1.500,10.05,8.5958,1.500,5.73
ParkJoy_270p,32,1,0.9402,5.64,0.167,9.9405,1.001,9.93,4.2991,1.001,4.30
ParkJoy_270p,32,2,0.7085,4.25,0.167,14.9811,1.500,9.99,8.6046,1.500,5.74
ParkJoy_270p,32,3,0.9506,5.70,0.167,10.0071,1.000,10.01,4.3034,1.000,4.30
ParkJoy_270p,32,4,0.9500,5.70,0.167,9.9995,1.000,10.00,4.2993,1.000,4.30
ParkJoy_270p,37,1,0.8019,5.61,0.143,9.9130,1.000,9.91,4.2999,1.000,4.30
ParkJoy_270p,37,2,0.9430,5.66,0.167,9.9602,1.000,9.96,4.3022,1.000,4.30
ParkJoy_270p,37,3,0.9549,5.73,0.167,10.0307,1.001,10.03,4.3015,1.001,4.30
ParkJoy_270p,37,4,0.9197,4.29,0.214,15.0426,1.500,10.03,8.6046,1.500,5.74
SparksElevator_270p,22,1,0.9440,5.66,0.167,9.9676,1.000,9.96,4.3036,1.000,4.30
SparksElevator_270p,22,2,0.7069,4.24,0.167,14.9658,1.501,9.97,8.6036,1.501,5.73
SparksElevator_270p,22,3,0.9562,5.74,0.167,10.0365,1.000,10.03,4.2991,1.000,4.30
SparksElevator_270p,22,4,0.9266,4.32,0.214,15.0821,1.500,10.05,8.5957,1.500,5.73
SparksElevator_270p,27,1,0.6949,4.17,0.167,14.8545,1.500,9.90,8.6001,1.500,5.73
SparksElevator_270p,27,2,0.9417,5.65,0.167,9.9498,1.000,9.95,4.2993,1.000,4.30
SparksElevator_270p,27,3,0.8047,4.29,0.187,15.0394,1.500,10.03,8.6022,1.500,5.74
SparksElevator_270p,27,4,0.9590,5.75,0.167,10.0278,1.000,10.02,4.2736,1.000,4.27
SparksElevator_270p,32,1,0.8015,5.61,0.143,9.9083,0.999,9.91,4.2980,0.999,4.30
SparksElevator_270p,32,2,0.7004,4.20,0.167,14.9074,1.500,9.94,8.6041,1.500,5.73
