video_name,qp,preset,E_process_single_J,P_process_W,t_process_single_s,E_load_total_J,t_load_total_s,P_load_W,E_idle_total_J,t_idle_total_s,P_idle_W
BoxingPractice_4k,22,1,10.0147,4.01,2.500,27.1280,2.500,10.85,17.1132,2.500,6.84
BoxingPractice_4k,22,2,8.5817,5.72,1.500,17.1397,1.500,11.43,8.5580,1.500,5.71
BoxingPractice_4k,22,3,13.4946,2.00,6.733,67.0921,6.733,9.96,53.5975,6.733,7.96
BoxingPractice_4k,22,4,13.6248,1.99,6.844,68.2498,6.844,9.97,54.6250,6.844,7.98
BoxingPractice_4k,27,1,8.8813,4.44,2.001,21.7833,2.001,10.89,12.9020,2.001,6.45
BoxingPractice_4k,27,2,8.3931,5.60,1.500,16.9684,1.500,11.32,8.5753,1.500,5.72
BoxingPractice_4k,27,3,12.9791,2.00,6.501,64.4301,6.501,9.91,51.4510,6.501,7.91
BoxingPractice_4k,27,4,13.0487,2.01,6.495,64.4148,6.495,9.92,51.3661,6.495,7.91
BoxingPractice_4k,32,1,8.8799,4.44,1.999,21.7665,1.999,10.89,12.8867,1.999,6.45
BoxingPractice_4k,32,2,8.3994,5.60,1.500,17.0250,1.500,11.35,8.6256,1.500,5.75
BoxingPractice_4k,32,3,13.0791,2.01,6.498,64.6243,6.498,9.95,51.5452,6.498,7.93
BoxingPractice_4k,32,4,13.0006,2.00,6.501,64.4349,6.501,9.91,51.4343,6.501,7.91
BoxingPractice_4k,37,1,8.8836,4.44,2.000,21.7469,2.000,10.87,12.8633,2.000,6.43
BoxingPractice_4k,37,2,8.3929,5.59,1.500,16.9755,1.500,11.32,8.5826,1.500,5.72
BoxingPractice_4k,37,3,12.9976,2.00,6.501,64.4526,6.501,9.91,51.4551,6.501,7.91
BoxingPractice_4k,37,4,13.0209,2.00,6.499,64.4125,6.499,9.91,51.3916,6.499,7.91
Crosswalk_4k,22,1,8.8649,4.44,1.999,21.7007,1.999,10.86,12.8358,1.999,6.42
Crosswalk_4k,22,2,8.3567,5.57,1.499,16.9193,1.499,11.28,8.5626,1.499,5.71
Crosswalk_4k,22,3,13.1487,2.02,6.500,64.5727,6.500,9.93,51.4241,6.500,7.91
Crosswalk_4k,22,4,13.0550,2.01,6.491,64.4982,6.491,9.94,51.4433,6.491,7.93
Crosswalk_4k,27,1,8.9635,4.48,2.000,21.8242,2.000,10.91,12.8607,2.000,6.43
Crosswalk_4k,27,2,8.3772,5.59,1.500,16.9464,1.500,11.30,8.5692,1.500,5.71
Crosswalk_4k,27,3,13.0887,2.01,6.496,64.4182,6.496,9.92,51.3295,6.496,7.90
Crosswalk_4k,27,4,12.9287,1.99,6.499,64.4057,6.499,9.91,51.4769,6.499,7.92
Crosswalk_4k,32,1,8.9952,4.50,2.001,21.8547,2.001,10.92,12.8596,2.001,6.43
Crosswalk_4k,32,2,8.4462,5.62,1.502,17.0035,1.502,11.32,8.5573,1.502,5.70
Crosswalk_4k,32,3,12.9698,2.00,6.498,64.3906,6.498,9.91,51.4207,6.498,7.91
