encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
NVIDIA,4K,BoxingPractice_4k,22,ultrafast,0.426311,211947.78,43.447706,28.578982,29.975309,41.676386,10.0147,4.01,2.5
NVIDIA,4K,BoxingPractice_4k,27,ultrafast,0.198018,98448.19,41.553952,28.602378,29.997436,40.022196,8.8813,4.44,2.001
NVIDIA,4K,BoxingPractice_4k,32,ultrafast,0.108892,54137.51,39.823259,28.633766,30.03532,38.512169,8.8799,4.44,1.999
NVIDIA,4K,BoxingPractice_4k,37,ultrafast,0.064296,31965.99,37.748584,28.688721,30.068792,36.702356,8.8836,4.44,2.0
NVIDIA,4K,BoxingPractice_4k,22,fast,0.423201,210401.41,43.413703,28.58455,29.979303,41.647231,8.5817,5.72,1.5
NVIDIA,4K,BoxingPractice_4k,27,fast,0.19615,97519.09,41.521993,28.615374,30.004866,39.995509,8.3931,5.6,1.5
NVIDIA,4K,BoxingPractice_4k,32,fast,0.106917,53155.77,39.773132,28.642923,30.038479,38.469078,8.3994,5.6,1.5
NVIDIA,4K,BoxingPractice_4k,37,fast,0.06266,31152.53,37.691668,28.69716,30.071883,36.653275,8.3929,5.59,1.5
NVIDIA,4K,BoxingPractice_4k,22,medium,0.412866,205263.41,43.466991,28.56748,29.966133,41.691968,13.4946,2.0,6.733
NVIDIA,4K,BoxingPractice_4k,27,medium,0.189639,94282.28,41.529614,28.585315,29.985048,39.99906,12.9791,2.0,6.501
NVIDIA,4K,BoxingPractice_4k,32,medium,0.103868,51639.7,39.709535,28.61201,30.018918,38.410276,13.0791,2.01,6.498
NVIDIA,4K,BoxingPractice_4k,37,medium,0.061373,30512.48,37.541575,28.6618,30.051893,36.518484,12.9976,2.0,6.501
NVIDIA,4K,BoxingPractice_4k,22,slow,0.412866,205263.41,43.466991,28.56748,29.966133,41.691968,13.6248,1.99,6.844
NVIDIA,4K,BoxingPractice_4k,27,slow,0.189639,94282.28,41.529614,28.585315,29.985048,39.99906,13.0487,2.01,6.495
NVIDIA,4K,BoxingPractice_4k,32,slow,0.103868,51639.7,39.709535,28.61201,30.018918,38.410276,13.0006,2.0,6.501
NVIDIA,4K,BoxingPractice_4k,37,slow,0.061373,30512.48,37.541575,28.6618,30.051893,36.518484,13.0209,2.0,6.499
NVIDIA,4K,Crosswalk_4k,22,ultrafast,0.224188,111459.08,43.336326,26.072374,24.554156,41.083443,8.8649,4.44,1.999
NVIDIA,4K,Crosswalk_4k,27,ultrafast,0.077393,38477.44,42.317389,26.097172,24.547786,40.193025,8.9635,4.48,2.0
NVIDIA,4K,Crosswalk_4k,32,ultrafast,0.0411,20433.73,41.40764,26.094249,24.550315,39.39697,8.9952,4.5,2.001
NVIDIA,4K,Crosswalk_4k,37,ultrafast,0.024966,12412.24,40.154444,26.095058,24.553607,38.30068,9.0222,4.51,2.001
NVIDIA,4K,Crosswalk_4k,22,fast,0.218542,108651.59,43.335572,26.07286,24.55413,41.082812,8.3567,5.57,1.499
NVIDIA,4K,Crosswalk_4k,27,fast,0.075381,37477.15,42.340638,26.099399,24.546811,40.213446,8.3772,5.59,1.5
NVIDIA,4K,Crosswalk_4k,32,fast,0.039979,19876.08,41.456993,26.095993,24.549333,39.440202,8.4462,5.62,1.502
NVIDIA,4K,Crosswalk_4k,37,fast,0.024362,12111.82,40.238726,26.09744,24.553855,38.374591,8.4136,5.61,1.5
NVIDIA,4K,Crosswalk_4k,22,medium,0.220383,109566.99,43.333515,26.074621,24.551966,41.080987,13.1487,2.02,6.5
NVIDIA,4K,Crosswalk_4k,27,medium,0.075773,37671.74,42.282709,26.097736,24.54586,40.162595,13.0887,2.01,6.496
NVIDIA,4K,Crosswalk_4k,32,medium,0.040101,19936.83,41.309647,26.094118,24.547787,39.31106,12.9698,2.0,6.498
NVIDIA,4K,Crosswalk_4k,37,medium,0.024365,12113.44,40.004671,26.095707,24.552179,38.16958,13.0536,2.01,6.505
NVIDIA,4K,Crosswalk_4k,22,slow,0.220383,109566.99,43.333515,26.074621,24.551966,41.080987,13.055,2.01,6.491
NVIDIA,4K,Crosswalk_4k,27,slow,0.075773,37671.74,42.282709,26.097736,24.54586,40.162595,12.9287,1.99,6.499
NVIDIA,4K,Crosswalk_4k,32,slow,0.040101,19936.83,41.309647,26.094118,24.547787,39.31106,12.9114,1.99,6.49
NVIDIA,4K,Crosswalk_4k,37,slow,0.024365,12113.44,40.004671,26.095707,24.552179,38.16958,12.9536,1.99,6.499
NVIDIA,4K,FoodMarket2_4k,22,ultrafast,0.411979,204822.38,44.351465,24.186025,24.731034,41.864848,10.0961,4.04,2.5
NVIDIA,4K,FoodMarket2_4k,27,ultrafast,0.230059,114377.75,42.419444,24.199348,24.737997,40.175598,9.5238,4.22,2.267
NVIDIA,4K,FoodMarket2_4k,32,ultrafast,0.132812,66029.75,40.119592,24.208412,24.757778,38.16503,8.951,4.48,1.999
NVIDIA,4K,FoodMarket2_4k,37,ultrafast,0.079022,39286.94,37.581258,24.21813,24.771565,35.945457,8.972,4.49,2.0
NVIDIA,4K,FoodMarket2_4k,22,fast,0.40411,200909.89,44.375812,24.18684,24.730032,41.88614,8.511,5.68,1.499
NVIDIA,4K,FoodMarket2_4k,27,fast,0.225591,112156.26,42.454911,24.201743,24.737023,40.20672,8.5039,5.66,1.501
NVIDIA,4K,FoodMarket2_4k,32,fast,0.129673,64468.89,40.1605,24.209816,24.753655,38.200654,8.466,5.64,1.5
NVIDIA,4K,FoodMarket2_4k,37,fast,0.077132,38347.6,37.64151,24.218977,24.767693,35.997988,8.497,5.66,1.501
NVIDIA,4K,FoodMarket2_4k,22,medium,0.404399,201053.84,44.288909,24.182445,24.726868,41.809627,13.9534,1.99,6.999
NVIDIA,4K,FoodMarket2_4k,27,medium,0.225002,111863.38,42.25225,24.193664,24.732061,40.028577,13.1519,2.02,6.498
NVIDIA,4K,FoodMarket2_4k,32,medium,0.12969,64477.73,39.847325,24.20041,24.749525,37.92578,13.1397,2.02,6.499
NVIDIA,4K,FoodMarket2_4k,37,medium,0.077216,38389.32,37.268189,24.20852,24.762755,35.67037,13.1068,2.02,6.501
NVIDIA,4K,FoodMarket2_4k,22,slow,0.404399,201053.84,44.288909,24.182445,24.726868,41.809627,13.9507,1.99,6.998
NVIDIA,4K,FoodMarket2_4k,27,slow,0.225002,111863.38,42.25225,24.193664,24.732061,40.028577,13.2135,2.03,6.501
NVIDIA,4K,FoodMarket2_4k,32,slow,0.12969,64477.73,39.847325,24.20041,24.749525,37.92578,13.2082,2.03,6.501
NVIDIA,4K,FoodMarket2_4k,37,slow,0.077216,38389.32,37.268189,24.20852,24.762755,35.67037,13.2051,2.03,6.5
NVIDIA,4K,Neon1224_4k,22,ultrafast,0.361952,89975.08,46.139798,17.257519,19.549041,42.672733,10.0383,4.01,2.502
NVIDIA,4K,Neon1224_4k,27,ultrafast,0.204746,50896.39,43.415534,17.260032,19.552569,40.28938,8.8293,4.42,1.999
NVIDIA,4K,Neon1224_4k,32,ultrafast,0.116233,28893.61,40.83927,17.267031,19.552777,38.035599,8.9079,4.45,2.0
NVIDIA,4K,Neon1224_4k,37,ultrafast,0.070064,17416.67,38.362055,17.273731,19.553078,35.868474,8.9351,4.47,1.999
