video_name,qp,preset,E_process_single_J,P_process_W,t_process_single_s,E_load_total_J,t_load_total_s,P_load_W,E_idle_total_J,t_idle_total_s,P_idle_W
Boat_2k,22,1,3.7752,5.03,0.750,16.1412,1.500,10.76,8.5908,1.500,5.73
Boat_2k,22,2,3.7261,4.97,0.750,16.0430,1.500,10.69,8.5908,1.500,5.73
Boat_2k,22,3,7.1169,3.56,2.000,20.0082,2.000,10.01,12.8913,2.000,6.45
Boat_2k,22,4,7.1153,3.56,2.001,20.0130,2.001,10.00,12.8977,2.001,6.45
Boat_2k,27,1,2.8964,4.34,0.667,21.6116,2.001,10.80,12.9224,2.001,6.46
Boat_2k,27,2,3.6550,4.87,0.750,15.9334,1.500,10.62,8.6235,1.500,5.75
Boat_2k,27,3,7.0524,3.53,1.999,19.9692,1.999,9.99,12.9168,1.999,6.46
Boat_2k,27,4,7.0730,3.54,2.001,19.9952,2.001,9.99,12.9222,2.001,6.46
Boat_2k,32,1,2.8644,4.30,0.667,21.4895,2.000,10.75,12.8962,2.000,6.45
Boat_2k,32,2,3.6213,4.83,0.750,15.8408,1.500,10.56,8.5982,1.500,5.73
Boat_2k,32,3,6.3500,4.23,1.501,14.9602,1.501,9.97,8.6103,1.501,5.74
Boat_2k,32,4,6.3374,4.23,1.500,14.9392,1.500,9.96,8.6018,1.500,5.74
Boat_2k,37,1,2.8391,4.26,0.667,21.4309,2.000,10.72,12.9135,2.000,6.46
Boat_2k,37,2,3.6221,4.83,0.750,15.8500,1.501,10.56,8.6057,1.501,5.73
Boat_2k,37,3,6.3422,4.23,1.501,14.9463,1.501,9.96,8.6041,1.501,5.73
Boat_2k,37,4,6.3340,4.22,1.500,14.9475,1.500,9.97,8.6136,1.500,5.74
FoodMarket_2k,22,1,2.8504,4.27,0.668,21.4480,2.003,10.71,12.8969,2.003,6.44
FoodMarket_2k,22,2,3.6266,4.84,0.750,15.8524,1.500,10.57,8.5992,1.500,5.73
FoodMarket_2k,22,3,6.6613,3.96,1.703,16.9869,1.703,9.97,10.3256,1.703,6.01
FoodMarket_2k,22,4,7.0214,3.51,2.000,19.9490,2.000,9.97,12.9276,2.000,6.46
FoodMarket_2k,27,1,2.8194,4.23,0.667,21.3888,2.001,10.69,12.9307,2.001,6.46
FoodMarket_2k,27,2,3.5919,4.79,0.750,15.7915,1.500,10.52,8.6077,1.500,5.74
FoodMarket_2k,27,3,6.3123,4.21,1.499,14.9162,1.499,9.95,8.6039,1.499,5.74
FoodMarket_2k,27,4,6.3217,4.22,1.500,14.9186,1.500,9.95,8.5969,1.500,5.73
FoodMarket_2k,32,1,2.8490,4.27,0.667,21.4441,2.000,10.72,12.8970,2.000,6.45
FoodMarket_2k,32,2,3.6242,4.83,0.750,15.8444,1.500,10.56,8.5960,1.500,5.73
FoodMarket_2k,32,3,6.3279,4.22,1.501,14.9397,1.501,9.96,8.6119,1.501,5.74
FoodMarket_2k,32,4,6.3146,4.21,1.501,14.9345,1.501,9.95,8.6199,1.501,5.74
FoodMarket_2k,37,1,2.8662,4.30,0.667,21.5081,2.000,10.75,12.9095,2.000,6.45
