video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
BoxingPractice_4k,22,ultrafast,211947.78,43.447706,28.578982,29.975309
BoxingPractice_4k,27,ultrafast,98448.19,41.553952,28.602378,29.997436
BoxingPractice_4k,32,ultrafast,54137.51,39.823259,28.633766,30.03532
BoxingPractice_4k,37,ultrafast,31965.99,37.748584,28.688721,30.068792
BoxingPractice_4k,22,fast,210401.41,43.413703,28.58455,29.979303
BoxingPractice_4k,27,fast,97519.09,41.521993,28.615374,30.004866
BoxingPractice_4k,32,fast,53155.77,39.773132,28.642923,30.038479
BoxingPractice_4k,37,fast,31152.53,37.691668,28.69716,30.071883
BoxingPractice_4k,22,medium,205263.41,43.466991,28.56748,29.966133
BoxingPractice_4k,27,medium,94282.28,41.529614,28.585315,29.985048
BoxingPractice_4k,32,medium,51639.7,39.709535,28.61201,30.018918
BoxingPractice_4k,37,medium,30512.48,37.541575,28.6618,30.051893
BoxingPractice_4k,22,slow,205263.41,43.466991,28.56748,29.966133
BoxingPractice_4k,27,slow,94282.28,41.529614,28.585315,29.985048
BoxingPractice_4k,32,slow,51639.7,39.709535,28.61201,30.018918
BoxingPractice_4k,37,slow,30512.48,37.541575,28.6618,30.051893
Crosswalk_4k,22,ultrafast,111459.08,43.336326,26.072374,24.554156
Crosswalk_4k,27,ultrafast,38477.44,42.317389,26.097172,24.547786
Crosswalk_4k,32,ultrafast,20433.73,41.40764,26.094249,24.550315
Crosswalk_4k,37,ultrafast,12412.24,40.154444,26.095058,24.553607
Crosswalk_4k,22,fast,108651.59,43.335572,26.07286,24.55413
Crosswalk_4k,27,fast,37477.15,42.340638,26.099399,24.546811
Crosswalk_4k,32,fast,19876.08,41.456993,26.095993,24.549333
Crosswalk_4k,37,fast,12111.82,40.238726,26.09744,24.553855
Crosswalk_4k,22,medium,109566.99,43.333515,26.074621,24.551966
Crosswalk_4k,27,medium,37671.74,42.282709,26.097736,24.54586
Crosswalk_4k,32,medium,19936.83,41.309647,26.094118,24.547787
Crosswalk_4k,37,medium,12113.44,40.004671,26.095707,24.552179
Crosswalk_4k,22,slow,109566.99,43.333515,26.074621,24.551966
Crosswalk_4k,27,slow,37671.74,42.282709,26.097736,24.54586
Crosswalk_4k,32,slow,19936.83,41.309647,26.094118,24.547787
Crosswalk_4k,37,slow,12113.44,40.004671,26.095707,24.552179
FoodMarket2_4k,22,ultrafast,204822.38,44.351465,24.186025,24.731034
FoodMarket2_4k,27,ultrafast,114377.75,42.419444,24.199348,24.737997
FoodMarket2_4k,32,ultrafast,66029.75,40.119592,24.208412,24.757778
FoodMarket2_4k,37,ultrafast,39286.94,37.581258,24.21813,24.771565
FoodMarket2_4k,22,fast,200909.89,44.375812,24.18684,24.730032
FoodMarket2_4k,27,fast,112156.26,42.454911,24.201743,24.737023
FoodMarket2_4k,32,fast,64468.89,40.1605,24.209816,24.753655
FoodMarket2_4k,37,fast,38347.6,37.64151,24.218977,24.767693
FoodMarket2_4k,22,medium,201053.84,44.288909,24.182445,24.726868
FoodMarket2_4k,27,medium,111863.38,42.25225,24.193664,24.732061
FoodMarket2_4k,32,medium,64477.73,39.847325,24.20041,24.749525
FoodMarket2_4k,37,medium,38389.32,37.268189,24.20852,24.762755
FoodMarket2_4k,22,slow,201053.84,44.288909,24.182445,24.726868
FoodMarket2_4k,27,slow,111863.38,42.25225,24.193664,24.732061
FoodMarket2_4k,32,slow,64477.73,39.847325,24.20041,24.749525
FoodMarket2_4k,37,slow,38389.32,37.268189,24.20852,24.762755
Neon1224_4k,22,ultrafast,89975.08,46.139798,17.257519,19.549041
Neon1224_4k,27,ultrafast,50896.39,43.415534,17.260032,19.552569
Neon1224_4k,32,ultrafast,28893.61,40.83927,17.267031,19.552777
Neon1224_4k,37,ultrafast,17416.67,38.362055,17.273731,19.553078
Neon1224_4k,22,fast,91373.66,45.810032,17.257362,19.549663
Neon1224_4k,27,fast,51020.65,43.155588,17.260949,19.552965
Neon1224_4k,32,fast,28775.32,40.629941,17.267678,19.552828
Neon1224_4k,37,fast,17225.28,38.175606,17.2724,19.552213
Neon1224_4k,22,medium,86625.32,46.327065,17.255774,19.548336
Neon1224_4k,27,medium,49616.42,43.605065,17.256824,19.550946
Neon1224_4k,32,medium,28094.53,40.882676,17.262783,19.550172
Neon1224_4k,37,medium,16730.21,38.229387,17.267068,19.550249
Neon1224_4k,22,slow,86625.32,46.327065,17.255774,19.548336
Neon1224_4k,27,slow,49616.42,43.605065,17.256824,19.550946
Neon1224_4k,32,slow,28094.53,40.882676,17.262783,19.550172
Neon1224_4k,37,slow,16730.21,38.229387,17.267068,19.550249
NocturneDance_4k,22,ultrafast,210395.98,47.034519,17.313467,17.209104
NocturneDance_4k,27,ultrafast,117451.54,44.152558,17.308057,17.213226
NocturneDance_4k,32,ultrafast,63811.07,41.095715,17.29674,17.21591
