video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
BoxingPractice_4k,22,ultrafast,201690.81,43.4504,47.9633,47.5162
BoxingPractice_4k,27,ultrafast,92213.70,41.5497,45.9635,45.4331
BoxingPractice_4k,32,ultrafast,50632.86,39.8368,44.2355,43.6337
BoxingPractice_4k,37,ultrafast,29903.56,37.8135,42.7756,42.1828
BoxingPractice_4k,22,superfast,194001.45,43.6209,47.9935,47.5447
BoxingPractice_4k,27,superfast,87156.69,41.7017,45.9075,45.3794
BoxingPractice_4k,32,superfast,48154.39,40.0424,44.1025,43.5097
BoxingPractice_4k,37,superfast,28730.17,38.0275,42.6035,42.0210
BoxingPractice_4k,22,veryfast,194417.28,43.6444,48.0462,47.5886
BoxingPractice_4k,27,veryfast,86946.66,41.7373,45.9482,45.4085
BoxingPractice_4k,32,veryfast,48016.09,40.0820,44.1219,43.5207
BoxingPractice_4k,37,veryfast,28528.15,38.0554,42.6074,42.0236
BoxingPractice_4k,22,faster,194417.28,43.6444,48.0462,47.5886
BoxingPractice_4k,27,faster,86946.66,41.7373,45.9482,45.4085
BoxingPractice_4k,32,faster,48016.09,40.0820,44.1219,43.5207
BoxingPractice_4k,37,faster,28528.15,38.0554,42.6074,42.0236
BoxingPractice_4k,22,fast,194418.70,43.6444,48.0462,47.5886
BoxingPractice_4k,27,fast,86948.07,41.7373,45.9482,45.4085
BoxingPractice_4k,32,fast,48017.50,40.0820,44.1219,43.5207
BoxingPractice_4k,37,fast,28529.57,38.0554,42.6074,42.0236
BoxingPractice_4k,22,medium,193889.58,43.6475,48.0469,47.5903
BoxingPractice_4k,27,medium,86730.01,41.7407,45.9531,45.4124
BoxingPractice_4k,32,medium,47898.56,40.0861,44.1194,43.5208
BoxingPractice_4k,37,medium,28573.94,38.0595,42.6124,42.0285
BoxingPractice_4k,22,slow,149519.22,43.1662,47.7296,47.2551
BoxingPractice_4k,27,slow,73567.81,41.5130,45.5604,44.9352
BoxingPractice_4k,32,slow,42310.08,39.8416,43.5679,42.8727
BoxingPractice_4k,37,slow,24831.92,37.7015,41.9942,41.3381
BoxingPractice_4k,22,slower,149633.45,43.1748,47.7383,47.2628
BoxingPractice_4k,27,slower,73414.41,41.5193,45.5728,44.9507
BoxingPractice_4k,32,slower,42215.21,39.8533,43.5934,42.9020
BoxingPractice_4k,37,slower,24761.12,37.7202,42.0355,41.3790
BoxingPractice_4k,22,veryslow,149634.86,43.1748,47.7383,47.2628
BoxingPractice_4k,27,veryslow,73415.83,41.5193,45.5728,44.9507
BoxingPractice_4k,32,veryslow,42216.62,39.8533,43.5934,42.9020
BoxingPractice_4k,37,veryslow,24762.54,37.7202,42.0355,41.3790
BoxingPractice_4k,22,placebo,149895.88,43.1762,47.7422,47.2650
BoxingPractice_4k,27,placebo,73550.82,41.5211,45.5741,44.9514
BoxingPractice_4k,32,placebo,42283.65,39.8536,43.5996,42.8933
BoxingPractice_4k,37,placebo,24830.03,37.7169,42.0391,41.3713
Crosswalk_4k,22,ultrafast,107053.85,43.4057,48.4176,50.8251
Crosswalk_4k,27,ultrafast,38101.26,42.4384,47.3549,49.7769
Crosswalk_4k,32,ultrafast,20832.19,41.6119,46.2256,48.4043
Crosswalk_4k,37,ultrafast,12763.35,40.4393,45.1828,47.1116
Crosswalk_4k,22,superfast,107569.75,43.4358,48.3989,50.7822
Crosswalk_4k,27,superfast,37966.74,42.4575,47.3663,49.7974
Crosswalk_4k,32,superfast,20771.78,41.6314,46.2419,48.4187
Crosswalk_4k,37,superfast,12712.85,40.4601,45.2165,47.1706
Crosswalk_4k,22,veryfast,107545.68,43.4495,48.4148,50.8094
Crosswalk_4k,27,veryfast,37888.39,42.4767,47.3588,49.7932
Crosswalk_4k,32,veryfast,20644.81,41.6451,46.2380,48.4231
Crosswalk_4k,37,veryfast,12552.84,40.4614,45.2230,47.1739
Crosswalk_4k,22,faster,107545.68,43.4495,48.4148,50.8094
Crosswalk_4k,27,faster,37888.39,42.4767,47.3588,49.7932
Crosswalk_4k,32,faster,20644.81,41.6451,46.2380,48.4231
Crosswalk_4k,37,faster,12552.84,40.4614,45.2230,47.1739
Crosswalk_4k,22,fast,107547.09,43.4495,48.4148,50.8094
Crosswalk_4k,27,fast,37889.80,42.4767,47.3588,49.7932
Crosswalk_4k,32,fast,20646.22,41.6451,46.2380,48.4231
Crosswalk_4k,37,fast,12554.26,40.4614,45.2230,47.1739
Crosswalk_4k,22,medium,107443.73,43.4520,48.4266,50.8297
Crosswalk_4k,27,medium,37634.92,42.4814,47.3586,49.7828
Crosswalk_4k,32,medium,20498.02,41.6550,46.2422,48.4197
Crosswalk_4k,37,medium,12457.97,40.4755,45.2244,47.1637
Crosswalk_4k,22,slow,63661.95,43.0458,48.2063,50.7258
Crosswalk_4k,27,slow,31558.86,42.3775,47.2027,49.7139
Crosswalk_4k,32,slow,18260.26,41.5303,45.9526,48.1811
Crosswalk_4k,37,slow,11187.82,40.2834,44.8479,46.8139
Crosswalk_4k,22,slower,63606.25,43.0516,48.2092,50.7189
Crosswalk_4k,27,slower,31570.66,42.3876,47.2053,49.7107
Crosswalk_4k,32,slower,18252.71,41.5426,45.9540,48.1920
Crosswalk_4k,37,slower,11171.77,40.3042,44.8506,46.8291
Crosswalk_4k,22,veryslow,63607.67,43.0516,48.2092,50.7189
Crosswalk_4k,27,veryslow,31572.08,42.3876,47.2053,49.7107
Crosswalk_4k,32,veryslow,18254.13,41.5426,45.9540,48.1920
Crosswalk_4k,37,veryslow,11173.18,40.3042,44.8506,46.8291
Crosswalk_4k,22,placebo,63583.12,43.0517,48.2100,50.7222
Crosswalk_4k,27,placebo,31539.52,42.3872,47.2058,49.7169
Crosswalk_4k,32,placebo,18174.36,41.5397,45.9544,48.1886
Crosswalk_4k,37,placebo,11156.66,40.3021,44.8489,46.8488
FoodMarket2_4k,22,ultrafast,190724.36,44.4462,48.1455,48.2223
FoodMarket2_4k,27,ultrafast,106721.09,42.5368,45.7804,45.9910
FoodMarket2_4k,32,ultrafast,61635.65,40.3034,43.7140,44.0341
FoodMarket2_4k,37,ultrafast,36754.17,37.8166,42.1160,42.4767
FoodMarket2_4k,22,superfast,189082.73,44.5237,48.1778,48.2401
FoodMarket2_4k,27,superfast,105854.03,42.6196,45.7761,45.9689
FoodMarket2_4k,32,superfast,61366.14,40.4003,43.6975,44.0105
FoodMarket2_4k,37,superfast,36734.34,37.9031,42.1074,42.4689
FoodMarket2_4k,22,veryfast,189047.34,44.5530,48.2226,48.2891
FoodMarket2_4k,27,veryfast,105619.91,42.6577,45.7833,45.9785
FoodMarket2_4k,32,veryfast,61178.28,40.4372,43.6941,44.0079
FoodMarket2_4k,37,veryfast,36458.23,37.9090,42.0857,42.4544
FoodMarket2_4k,22,faster,189047.34,44.5530,48.2226,48.2891
FoodMarket2_4k,27,faster,105619.91,42.6577,45.7833,45.9785
FoodMarket2_4k,32,faster,61178.28,40.4372,43.6941,44.0079
