VideoName,QP,Preset,Repeat,RAPL_Core_Before_uJ,RAPL_Core_After_uJ
RollerCoaster_720p,22,ultrafast,1,103545542478,103617641964
RollerCoaster_720p,22,ultrafast,2,103617657589,103689539302
RollerCoaster_720p,22,ultrafast,3,103689549983,103760908016
RollerCoaster_720p,22,ultrafast,4,103760920406,103832536434
RollerCoaster_720p,22,ultrafast,5,103832551265,103903923763
RollerCoaster_720p,22,ultrafast,6,103903953548,103975795527
RollerCoaster_720p,22,ultrafast,7,103975810603,104047586542
RollerCoaster_720p,22,ultrafast,8,104047597468,104118925227
RollerCoaster_720p,22,ultrafast,9,104118938532,104191129937
RollerCoaster_720p,22,ultrafast,10,104191145745,104262854485
RollerCoaster_720p,22,ultrafast,11,104262871086,104334579338
RollerCoaster_720p,22,ultrafast,12,104334593803,104406607169
RollerCoaster_720p,22,ultrafast,13,104406624869,104479733996
RollerCoaster_720p,22,ultrafast,14,104479745531,104551366197
RollerCoaster_720p,22,ultrafast,15,104551379991,104623359055
RollerCoaster_720p,22,superfast,1,104623373276,104883680715
RollerCoaster_720p,22,superfast,2,104883696096,105145639823
RollerCoaster_720p,22,superfast,3,105145654471,105407519462
RollerCoaster_720p,22,superfast,4,105407531242,105681714134
RollerCoaster_720p,22,superfast,5,105681727195,105942431789
RollerCoaster_720p,22,superfast,6,105942447231,106204932399
RollerCoaster_720p,22,superfast,7,106204944789,106468319237
RollerCoaster_720p,22,superfast,8,106468331078,106730920676
RollerCoaster_720p,22,superfast,9,106730929954,106993842611
RollerCoaster_720p,22,superfast,10,106993853902,107257554643
RollerCoaster_720p,22,superfast,11,107257574418,107518076315
RollerCoaster_720p,22,superfast,12,107518087790,107793278125
RollerCoaster_720p,22,superfast,13,107793293140,108053526543
RollerCoaster_720p,22,superfast,14,108053544732,108313653563
RollerCoaster_720p,22,superfast,15,108313661864,108574051761
RollerCoaster_720p,22,veryfast,1,108574070743,108845837320
RollerCoaster_720p,22,veryfast,2,108845848795,109119669139
RollerCoaster_720p,22,veryfast,3,109119677562,109393569500
RollerCoaster_720p,22,veryfast,4,109393583660,109666907728
RollerCoaster_720p,22,veryfast,5,109666919508,109939383166
RollerCoaster_720p,22,veryfast,6,109939396655,110214684341
RollerCoaster_720p,22,veryfast,7,110214705581,110497257958
RollerCoaster_720p,22,veryfast,8,110497267846,110769207763
RollerCoaster_720p,22,veryfast,9,110769222899,111041020421
RollerCoaster_720p,22,veryfast,10,111041038060,111312927257
RollerCoaster_720p,22,veryfast,11,111312941051,111586777325
RollerCoaster_720p,22,veryfast,12,111586793926,111857683858
RollerCoaster_720p,22,veryfast,13,111857698934,112142752403
RollerCoaster_720p,22,veryfast,14,112142766075,112415546810
RollerCoaster_720p,22,veryfast,15,112415564205,112689265225
RollerCoaster_720p,22,faster,1,112689277737,112961042911
RollerCoaster_720p,22,faster,2,112961059085,113232041790
RollerCoaster_720p,22,faster,3,113232051738,113506149609
RollerCoaster_720p,22,faster,4,113506164440,113780092938
RollerCoaster_720p,22,faster,5,113780109479,114053715468
RollerCoaster_720p,22,faster,6,114053733534,114325434010
RollerCoaster_720p,22,faster,7,114325449574,114597500086
RollerCoaster_720p,22,faster,8,114597519312,114882044219
RollerCoaster_720p,22,faster,9,114882059844,115154431766
RollerCoaster_720p,22,faster,10,115154442630,115425466045
RollerCoaster_720p,22,faster,11,115425480755,115698846205
RollerCoaster_720p,22,faster,12,115698860975,115973967327
RollerCoaster_720p,22,faster,13,115973979717,116244659200
RollerCoaster_720p,22,faster,14,116244670430,116518869618
RollerCoaster_720p,22,faster,15,116518895924,116800169374
RollerCoaster_720p,22,fast,1,116800183290,117073290074
RollerCoaster_720p,22,fast,2,117073302159,117345335093
RollerCoaster_720p,22,fast,3,117345350413,117616252063
RollerCoaster_720p,22,fast,4,117616271350,117886776212
RollerCoaster_720p,22,fast,5,117886791348,118158331913
RollerCoaster_720p,22,fast,6,118158345707,118431347693
RollerCoaster_720p,22,fast,7,118431360267,118704531259
RollerCoaster_720p,22,fast,8,118704544382,118979792700
RollerCoaster_720p,22,fast,9,118979805274,119265329323
RollerCoaster_720p,22,fast,10,119265345986,119538551585
RollerCoaster_720p,22,fast,11,119538563731,119812519817
RollerCoaster_720p,22,fast,12,119812542583,120086817088
RollerCoaster_720p,22,fast,13,120086827830,120360431012
RollerCoaster_720p,22,fast,14,120360450848,120634041456
RollerCoaster_720p,22,fast,15,120634055067,120907202622
RollerCoaster_720p,22,medium,1,120907216782,121206059950
RollerCoaster_720p,22,medium,2,121206076430,121492229933
RollerCoaster_720p,22,medium,3,121492241469,121778006240
RollerCoaster_720p,22,medium,4,121778017715,122062663959
RollerCoaster_720p,22,medium,5,122062679034,122348252522
RollerCoaster_720p,22,medium,6,122348264424,122634647053
RollerCoaster_720p,22,medium,7,122634660846,122920532185
RollerCoaster_720p,22,medium,8,122920546833,123208639541
RollerCoaster_720p,22,medium,9,123208661879,123495757092
RollerCoaster_720p,22,medium,10,123495769848,123795372292
RollerCoaster_720p,22,medium,11,123795388100,124081034463
RollerCoaster_720p,22,medium,12,124081045327,124368489965
RollerCoaster_720p,22,medium,13,124368512243,124656087129
RollerCoaster_720p,22,medium,14,124656099092,124942423554
RollerCoaster_720p,22,medium,15,124942433869,125227647861
RollerCoaster_720p,22,slow,1,125227663425,125768387748
RollerCoaster_720p,22,slow,2,125768399650,126295204088
RollerCoaster_720p,22,slow,3,126295216173,126821107954
RollerCoaster_720p,22,slow,4,126821123518,127345888837
RollerCoaster_720p,22,slow,5,127345902448,127874467684
RollerCoaster_720p,22,slow,6,127874489596,128412294798
RollerCoaster_720p,22,slow,7,128412306334,128938480646
RollerCoaster_720p,22,slow,8,128938492487,129463742119
RollerCoaster_720p,22,slow,9,129463756279,129998646511
RollerCoaster_720p,22,slow,10,129998665005,130522613798
RollerCoaster_720p,22,slow,11,130522631376,131047834865
RollerCoaster_720p,22,slow,12,131047845302,131572557948
RollerCoaster_720p,22,slow,13,131572564845,132095482208
RollerCoaster_720p,22,slow,14,132095492889,132630697390
RollerCoaster_720p,22,slow,15,132630713137,133156317993
RollerCoaster_720p,22,slower,1,133156329651,133817863724
RollerCoaster_720p,22,slower,2,133817873733,134491303894
RollerCoaster_720p,22,slower,3,134491311829,135153617567
RollerCoaster_720p,22,slower,4,135153640272,135816522670
RollerCoaster_720p,22,slower,5,135816538050,136479497901
RollerCoaster_720p,22,slower,6,136479505103,137157551219
RollerCoaster_720p,22,slower,7,137157566234,137817285858
RollerCoaster_720p,22,slower,8,137817297821,138485635466
RollerCoaster_720p,22,slower,9,138485656584,139163096622
RollerCoaster_720p,22,slower,10,139163110355,139826349746
