encoder,resolution,VideoName,QP,Preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,Validated_Mean_Energy_J,Std_Dev_J,Avg_Time_per_Measurement_s,Measurements_Count_Used
x265,1080p,Aerial3200_2k,22,fast,1.352566,168112.72,42.0156,43.6295,43.4724,42.207519,1184.7122835,0.801123678259689,28.99778266225,4
x265,1080p,Aerial3200_2k,22,faster,1.352555,168111.31,42.0156,43.6295,43.4724,42.207519,1185.0412776,4.82429644601825,28.9167659416,5
x265,1080p,Aerial3200_2k,22,medium,1.352049,168048.52,42.0274,43.6261,43.4732,42.217681,1265.4095656,2.28278562342247,30.9983853828,5
x265,1080p,Aerial3200_2k,22,superfast,1.35173,168008.88,41.9935,43.6113,43.4491,42.185588,1122.4688365,1.05980814520915,27.147998729,4
x265,1080p,Aerial3200_2k,22,ultrafast,1.377838,171253.88,41.7045,43.5171,43.3349,41.919688,293.546177888889,2.54394300246829,7.20996414533333,9
x265,1080p,Aerial3200_2k,22,veryfast,1.352555,168111.31,42.0156,43.6295,43.4724,42.207519,1185.8694494,2.57601848719634,28.8887292384,5
x265,1080p,Aerial3200_2k,27,fast,0.73883,91830.44,38.6412,41.259,41.4809,38.982294,981.4404322,3.55102069442107,23.5299642624,5
x265,1080p,Aerial3200_2k,27,faster,0.738819,91829.02,38.6412,41.259,41.4809,38.982294,989.744011,4.20992008262603,23.5970149602,5
x265,1080p,Aerial3200_2k,27,medium,0.738674,91811.09,38.647,41.2586,41.4815,38.987381,1054.9703944,5.07394297979971,25.1520106918,5
x265,1080p,Aerial3200_2k,27,superfast,0.738454,91783.71,38.5928,41.2452,41.4673,38.938231,937.2021905,5.3487262146093,22.242040826,6
x265,1080p,Aerial3200_2k,27,ultrafast,0.7562,93989.36,38.3448,41.2574,41.4479,38.720781,242.0825834,1.02119417563816,5.7842397658,5
x265,1080p,Aerial3200_2k,27,veryfast,0.738819,91829.02,38.6412,41.259,41.4809,38.982294,987.4466176,3.29544123194912,23.4853712966,5
x265,1080p,Aerial3200_2k,32,fast,0.373201,46385.8,35.5502,39.5883,40.1017,36.08705,814.782622777778,1.63255733538962,19.1683750145556,9
x265,1080p,Aerial3200_2k,32,faster,0.37319,46384.39,35.5502,39.5883,40.1017,36.08705,815.1731942,3.31191665883846,19.2384385286,5
x265,1080p,Aerial3200_2k,32,medium,0.373372,46407.04,35.5568,39.5871,40.1003,36.092662,873.2091905,6.31189770925464,20.532353399,8
x265,1080p,Aerial3200_2k,32,superfast,0.373577,46432.53,35.5039,39.5894,40.0972,36.046325,777.450439,1.31337644225923,18.1667946454,5
x265,1080p,Aerial3200_2k,32,ultrafast,0.380781,47327.91,35.2491,39.7081,40.1977,35.837075,207.878452428571,1.20631005489908,4.87339101514286,7
x265,1080p,Aerial3200_2k,32,veryfast,0.37319,46384.39,35.5502,39.5883,40.1017,36.08705,818.552446,3.3630725673896,19.2784271208,5
x265,1080p,Aerial3200_2k,37,fast,0.182494,22682.43,32.8219,38.4756,39.1343,33.569781,698.0679535,2.13166874361104,16.153274623125,8
x265,1080p,Aerial3200_2k,37,faster,0.182482,22681.02,32.8219,38.4756,39.1343,33.569781,698.5339296,1.97604319777916,16.2014698618,5
x265,1080p,Aerial3200_2k,37,medium,0.182015,22622.96,32.8245,38.4852,39.1395,33.572981,739.3135736,1.90848673863949,17.1542822044,5
x265,1080p,Aerial3200_2k,37,superfast,0.18263,22699.43,32.8021,38.4791,39.1316,33.552506,667.9387928,1.60013504218197,15.4533407522,5
x265,1080p,Aerial3200_2k,37,ultrafast,0.184271,22903.33,32.5939,38.6126,39.2497,33.386056,184.1105415,0.660731713302987,4.2512055625,6
x265,1080p,Aerial3200_2k,37,veryfast,0.182482,22681.02,32.8219,38.4756,39.1343,33.569781,698.8537774,1.92397228245921,16.1704557708,5
x265,360p,BlueSky_360p,22,fast,1.516736,8736.4,44.2294,43.9026,44.5569,44.229444,117.682339,0.826187601987241,4.0413969695,8
x265,360p,BlueSky_360p,22,faster,1.516632,8735.8,44.2294,43.9026,44.5569,44.229444,118.407554166667,0.701375869011022,4.047918435,6
x265,360p,BlueSky_360p,22,medium,1.517014,8738,44.2608,43.9208,44.5466,44.257413,124.79747075,0.131110843452846,4.29168693325,4
x265,360p,BlueSky_360p,22,superfast,1.518403,8746,44.0999,43.802,44.4227,44.101456,112.9584872,0.251011009224098,2.9216126576,5
x265,360p,BlueSky_360p,22,ultrafast,1.666667,9600,42.9283,43.1099,43.7612,42.991706,33.0974381818182,0.195639630183058,0.875887396545454,11
x265,360p,BlueSky_360p,22,veryfast,1.516632,8735.8,44.2294,43.9026,44.5569,44.229444,118.5880508,0.20244647117374,4.0407876936,5
x265,360p,BlueSky_360p,27,fast,1.032917,5949.6,40.0373,39.7396,40.8491,40.069431,106.9119212,0.357578680407823,3.6231070586,5
x265,360p,BlueSky_360p,27,faster,1.032812,5949,40.0373,39.7396,40.8491,40.069431,106.5190145,0.482875104893491,3.63767349333333,6
x265,360p,BlueSky_360p,27,medium,1.034063,5956.2,40.0611,39.7457,40.8539,40.090938,113.797641333333,0.11145078371341,3.87306866666667,3
x265,360p,BlueSky_360p,27,superfast,1.032917,5949.6,39.852,39.6087,40.7137,39.89065,101.8376544,0.255960384995999,2.622644558,5
x265,360p,BlueSky_360p,27,ultrafast,1.120694,6455.2,38.7807,39.1072,40.2565,38.893344,29.4298232307692,0.225623222205795,0.786927765769231,13
x265,360p,BlueSky_360p,27,veryfast,1.032812,5949,40.0373,39.7396,40.8491,40.069431,106.5771566,0.259683182978413,3.6447231124,5
x265,360p,BlueSky_360p,32,fast,0.673854,3881.4,35.8958,36.6556,38.3275,36.095269,94.3081448,0.364043297477374,3.1419474056,5
x265,360p,BlueSky_360p,32,faster,0.67375,3880.8,35.8958,36.6556,38.3275,36.095269,94.2062711666667,0.505955968988376,3.147879763,6
x265,360p,BlueSky_360p,32,medium,0.673681,3880.4,35.9134,36.652,38.3413,36.111306,99.9467532,0.253311156068382,3.3452493706,5
x265,360p,BlueSky_360p,32,superfast,0.674236,3883.6,35.6726,36.5971,38.2638,35.892331,89.458658,0.266284271312633,2.2886378754,5
x265,360p,BlueSky_360p,32,ultrafast,0.715868,4123.4,34.7123,36.3527,38.0481,35.023312,25.7048984,0.138316471527539,0.6688615332,15
x265,360p,BlueSky_360p,32,veryfast,0.67375,3880.8,35.8958,36.6556,38.3275,36.095269,94.271396,0.194647739414906,3.140073951,4
x265,360p,BlueSky_360p,37,fast,0.423785,2441,32.0427,34.6624,36.7797,32.502494,82.8924965714286,0.580005389101072,2.68403153257143,7
x265,360p,BlueSky_360p,37,faster,0.423681,2440.4,32.0427,34.6624,36.7797,32.502494,82.5920285,0.114713724661292,2.7271480445,4
x265,360p,BlueSky_360p,37,medium,0.424271,2443.8,32.0531,34.6565,36.784,32.511494,87.894135,0.270702484687526,2.824575669,5
x265,360p,BlueSky_360p,37,superfast,0.424444,2444.8,31.8671,34.6543,36.7695,32.3477,78.3685798,0.462081251384742,1.9690481581,10
x265,360p,BlueSky_360p,37,ultrafast,0.440486,2537.2,31.0865,34.5994,36.7417,31.659506,22.1831144615385,0.194111948200695,0.576398699692308,13
x265,360p,BlueSky_360p,37,veryfast,0.423681,2440.4,32.0427,34.6624,36.7797,32.502494,82.6530354,0.396892390627233,2.687528439,5
x265,1080p,Boat_2k,22,fast,1.527969,189913.92,42.2805,43.2186,44.1424,42.4555,1180.2799864,3.6520887864413,29.1589390888,5
x265,1080p,Boat_2k,22,faster,1.527958,189912.52,42.2805,43.2186,44.1424,42.4555,1179.3278284,3.67503503461413,29.1256347576,5
x265,1080p,Boat_2k,22,medium,1.527119,189808.2,42.2954,43.2148,44.1436,42.468375,1250.47829635714,6.96021512246687,30.9500379360714,14
x265,1080p,Boat_2k,22,superfast,1.526291,189705.31,42.2202,43.1292,44.0039,42.388494,1127.5924626,3.14348942444448,27.496908424,5
x265,1080p,Boat_2k,22,ultrafast,1.574979,195756.81,41.7738,42.9299,43.7931,41.972262,309.118459,1.11476073515957,7.6580456004,5
x265,1080p,Boat_2k,22,veryfast,1.527958,189912.52,42.2805,43.2186,44.1424,42.4555,1184.7320746,2.68429862675081,29.1144105528,5
x265,1080p,Boat_2k,27,fast,0.956124,118838.28,38.4456,40.3034,41.5314,38.754575,1039.722509,2.42237978765077,25.2387030518,5
x265,1080p,Boat_2k,27,faster,0.956113,118836.86,38.4456,40.3034,41.5314,38.754575,1039.64946522222,6.90906955295215,25.2709959837778,9
x265,1080p,Boat_2k,27,medium,0.955535,118765.12,38.4541,40.302,41.5275,38.761681,1101.9597274,3.25322613952632,26.7445378116,5
x265,1080p,Boat_2k,27,superfast,0.956952,118941.18,38.3399,40.2074,41.3941,38.647506,988.3958338,2.46286624110074,23.8245023314,5
x265,1080p,Boat_2k,27,ultrafast,0.987924,122790.81,37.9878,40.1069,41.28,38.326006,262.971098,1.19909178983946,6.41675653683333,6
x265,1080p,Boat_2k,27,veryfast,0.956113,118836.86,38.4456,40.3034,41.5314,38.754575,1039.7772605,1.77006886510827,25.183325167,4
x265,1080p,Boat_2k,32,fast,0.573361,71263.98,34.7798,38.328,39.7025,35.309231,898.486329714286,1.99091778564106,21.474534532,7
x265,1080p,Boat_2k,32,faster,0.573349,71262.56,34.7798,38.328,39.7025,35.309231,896.225224666667,0.806781062964627,21.393050861,3
x265,1080p,Boat_2k,32,medium,0.573038,71223.86,34.7868,38.3253,39.7025,35.315188,956.0551456,2.21972734951509,22.7860947962,5
x265,1080p,Boat_2k,32,superfast,0.574071,71352.25,34.6628,38.2512,39.5712,35.19385,856.6475506,3.49276161999875,20.3312223526,5
x265,1080p,Boat_2k,32,ultrafast,0.590803,73431.88,34.3344,38.2662,39.5826,34.90815,228.205095714286,0.941449239320017,5.43937067514286,7
x265,1080p,Boat_2k,32,veryfast,0.573349,71262.56,34.7798,38.328,39.7025,35.309231,900.093948,1.18531740491113,21.4430838026667,9
x265,1080p,Boat_2k,37,fast,0.329925,41006.89,31.4238,36.981,38.3116,32.201612,786.013023333333,4.22004102674022,18.455488135,6
x265,1080p,Boat_2k,37,faster,0.329913,41005.48,31.4238,36.981,38.3116,32.201612,785.7829744,1.85895347610202,18.4549562,5
x265,1080p,Boat_2k,37,medium,0.330502,41078.63,31.4306,36.9837,38.3214,32.208344,831.5049394,3.0173794726367,19.4588488438,5
x265,1080p,Boat_2k,37,superfast,0.330882,41125.84,31.3303,36.9286,38.2168,32.1106,747.379332666667,0.648709987857697,17.4628361793333,3
