encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv
x265,4K,BoxingPractice_4k,22,ultrafast,0.405680,201690.810000,43.450400,47.963300,47.516200,43.986569
x265,4K,BoxingPractice_4k,27,ultrafast,0.185478,92213.700000,41.549700,45.963500,45.433100,42.068275
x265,4K,BoxingPractice_4k,32,ultrafast,0.101843,50632.860000,39.836800,44.235500,43.633700,40.349025
x265,4K,BoxingPractice_4k,37,ultrafast,0.060148,29903.560000,37.813500,42.775600,42.182800,38.396713
x265,4K,BoxingPractice_4k,22,superfast,0.390214,194001.450000,43.620900,47.993500,47.544700,44.139425
x265,4K,BoxingPractice_4k,27,superfast,0.175307,87156.690000,41.701700,45.907500,45.379400,42.194419
x265,4K,BoxingPractice_4k,32,superfast,0.096858,48154.390000,40.042400,44.102500,43.509700,40.512862
x265,4K,BoxingPractice_4k,37,superfast,0.057788,28730.170000,38.027500,42.603500,42.021000,38.563094
x265,4K,BoxingPractice_4k,22,veryfast,0.391050,194417.280000,43.644400,48.046200,47.588600,44.166025
x265,4K,BoxingPractice_4k,27,veryfast,0.174884,86946.660000,41.737300,45.948200,45.408500,42.229931
x265,4K,BoxingPractice_4k,32,veryfast,0.096579,48016.090000,40.082000,44.121900,43.520700,40.549413
x265,4K,BoxingPractice_4k,37,veryfast,0.057381,28528.150000,38.055400,42.607400,42.023600,38.587912
x265,4K,BoxingPractice_4k,22,faster,0.391050,194417.280000,43.644400,48.046200,47.588600,44.166025
x265,4K,BoxingPractice_4k,27,faster,0.174884,86946.660000,41.737300,45.948200,45.408500,42.229931
x265,4K,BoxingPractice_4k,32,faster,0.096579,48016.090000,40.082000,44.121900,43.520700,40.549413
x265,4K,BoxingPractice_4k,37,faster,0.057381,28528.150000,38.055400,42.607400,42.023600,38.587912
x265,4K,BoxingPractice_4k,22,fast,0.391053,194418.700000,43.644400,48.046200,47.588600,44.166025
x265,4K,BoxingPractice_4k,27,fast,0.174887,86948.070000,41.737300,45.948200,45.408500,42.229931
x265,4K,BoxingPractice_4k,32,fast,0.096582,48017.500000,40.082000,44.121900,43.520700,40.549413
x265,4K,BoxingPractice_4k,37,fast,0.057384,28529.570000,38.055400,42.607400,42.023600,38.587912
x265,4K,BoxingPractice_4k,22,medium,0.389989,193889.580000,43.647500,48.046900,47.590300,44.168888
x265,4K,BoxingPractice_4k,27,medium,0.174449,86730.010000,41.740700,45.953100,45.412400,42.233456
x265,4K,BoxingPractice_4k,32,medium,0.096343,47898.560000,40.086100,44.119400,43.520800,40.552850
x265,4K,BoxingPractice_4k,37,medium,0.057474,28573.940000,38.059500,42.612400,42.028500,38.592119
x265,4K,BoxingPractice_4k,22,slow,0.300743,149519.220000,43.166200,47.729600,47.255100,43.706969
x265,4K,BoxingPractice_4k,27,slow,0.147974,73567.810000,41.513000,45.560400,44.935200,41.979850
x265,4K,BoxingPractice_4k,32,slow,0.085102,42310.080000,39.841600,43.567900,42.872700,40.263938
x265,4K,BoxingPractice_4k,37,slow,0.049947,24831.920000,37.701500,41.994200,41.338100,38.197081
x265,4K,BoxingPractice_4k,22,slower,0.300972,149633.450000,43.174800,47.738300,47.262800,43.715519
x265,4K,BoxingPractice_4k,27,slower,0.147666,73414.410000,41.519300,45.572800,44.950700,41.987106
x265,4K,BoxingPractice_4k,32,slower,0.084912,42215.210000,39.853300,43.593400,42.902000,40.277600
x265,4K,BoxingPractice_4k,37,slower,0.049804,24761.120000,37.720200,42.035500,41.379000,38.218581
x265,4K,BoxingPractice_4k,22,veryslow,0.300975,149634.860000,43.174800,47.738300,47.262800,43.715519
x265,4K,BoxingPractice_4k,27,veryslow,0.147668,73415.830000,41.519300,45.572800,44.950700,41.987106
x265,4K,BoxingPractice_4k,32,veryslow,0.084914,42216.620000,39.853300,43.593400,42.902000,40.277600
x265,4K,BoxingPractice_4k,37,veryslow,0.049807,24762.540000,37.720200,42.035500,41.379000,38.218581
x265,4K,BoxingPractice_4k,22,placebo,0.301500,149895.880000,43.176200,47.742200,47.265000,43.717125
x265,4K,BoxingPractice_4k,27,placebo,0.147940,73550.820000,41.521100,45.574100,44.951400,41.988806
x265,4K,BoxingPractice_4k,32,placebo,0.085049,42283.650000,39.853600,43.599600,42.893300,40.277706
x265,4K,BoxingPractice_4k,37,placebo,0.049943,24830.030000,37.716900,42.039100,41.371300,38.215438
x265,4K,Crosswalk_4k,22,ultrafast,0.215328,107053.850000,43.405700,48.417600,50.825100,44.182656
x265,4K,Crosswalk_4k,27,ultrafast,0.076637,38101.260000,42.438400,47.354900,49.776900,43.204338
x265,4K,Crosswalk_4k,32,ultrafast,0.041902,20832.190000,41.611900,46.225600,48.404300,42.324781
x265,4K,Crosswalk_4k,37,ultrafast,0.025672,12763.350000,40.439300,45.182800,47.111600,41.152788
x265,4K,Crosswalk_4k,22,superfast,0.216365,107569.750000,43.435800,48.398900,50.782200,44.205144
x265,4K,Crosswalk_4k,27,superfast,0.076366,37966.740000,42.457500,47.366300,49.797400,43.223044
x265,4K,Crosswalk_4k,32,superfast,0.041780,20771.780000,41.631400,46.241900,48.418700,42.343762
x265,4K,Crosswalk_4k,37,superfast,0.025571,12712.850000,40.460100,45.216500,47.170600,41.176781
x265,4K,Crosswalk_4k,22,veryfast,0.216317,107545.680000,43.449500,48.414800,50.809400,44.219825
x265,4K,Crosswalk_4k,27,veryfast,0.076209,37888.390000,42.476700,47.358800,49.793200,43.239112
x265,4K,Crosswalk_4k,32,veryfast,0.041525,20644.810000,41.645100,46.238000,48.423100,42.355781
x265,4K,Crosswalk_4k,37,veryfast,0.025249,12552.840000,40.461400,45.223000,47.173900,41.178531
x265,4K,Crosswalk_4k,22,faster,0.216317,107545.680000,43.449500,48.414800,50.809400,44.219825
x265,4K,Crosswalk_4k,27,faster,0.076209,37888.390000,42.476700,47.358800,49.793200,43.239112
x265,4K,Crosswalk_4k,32,faster,0.041525,20644.810000,41.645100,46.238000,48.423100,42.355781
x265,4K,Crosswalk_4k,37,faster,0.025249,12552.840000,40.461400,45.223000,47.173900,41.178531
x265,4K,Crosswalk_4k,22,fast,0.216320,107547.090000,43.449500,48.414800,50.809400,44.219825
x265,4K,Crosswalk_4k,27,fast,0.076211,37889.800000,42.476700,47.358800,49.793200,43.239112
x265,4K,Crosswalk_4k,32,fast,0.041528,20646.220000,41.645100,46.238000,48.423100,42.355781
