video_name,comparison,bd_rate_change_perc,bd_psnr_y_db,bd_psnr_u_db,bd_psnr_v_db,bd_psnr_avg_db
BoxingPractice_4k,ultrafast_vs_medium,13.9292,-0.3704,-0.1111,-0.1116,-0.1977
BoxingPractice_4k,superfast_vs_medium,1.7793,-0.0500,-0.0478,-0.0405,-0.0461
BoxingPractice_4k,veryfast_vs_medium,0.3154,-0.0087,-0.0078,-0.0086,-0.0084
BoxingPractice_4k,faster_vs_medium,0.3154,-0.0087,-0.0078,-0.0086,-0.0084
BoxingPractice_4k,fast_vs_medium,0.3179,-0.0087,-0.0079,-0.0086,-0.0084
BoxingPractice_4k,slow_vs_medium,-5.7718,0.1778,0.0251,-0.0323,0.0569
BoxingPractice_4k,slower_vs_medium,-6.2776,0.1929,0.0488,-0.0086,0.0777
BoxingPractice_4k,veryslow_vs_medium,-6.2750,0.1928,0.0487,-0.0087,0.0776
BoxingPractice_4k,placebo_vs_medium,-6.1263,0.1885,0.0458,-0.0143,0.0733
Crosswalk_4k,ultrafast_vs_medium,4.5397,-0.0659,-0.0326,-0.0414,-0.0466
Crosswalk_4k,superfast_vs_medium,2.6562,-0.0390,-0.0206,-0.0214,-0.0270
Crosswalk_4k,veryfast_vs_medium,1.0577,-0.0155,-0.0106,-0.0104,-0.0122
Crosswalk_4k,faster_vs_medium,1.0577,-0.0155,-0.0106,-0.0104,-0.0122
Crosswalk_4k,fast_vs_medium,1.0636,-0.0156,-0.0107,-0.0105,-0.0123
Crosswalk_4k,slow_vs_medium,-5.8453,0.1060,0.0474,0.1501,0.1012
Crosswalk_4k,slower_vs_medium,-6.4828,0.1169,0.0531,0.1516,0.1072
Crosswalk_4k,veryslow_vs_medium,-6.4763,0.1168,0.0530,0.1515,0.1071
Crosswalk_4k,placebo_vs_medium,-6.6958,0.1201,0.0565,0.1597,0.1121
FoodMarket2_4k,ultrafast_vs_medium,5.7290,-0.2396,-0.0262,-0.0287,-0.0982
FoodMarket2_4k,superfast_vs_medium,1.7443,-0.0745,-0.0466,-0.0487,-0.0566
FoodMarket2_4k,veryfast_vs_medium,0.3673,-0.0156,-0.0174,-0.0159,-0.0163
FoodMarket2_4k,faster_vs_medium,0.3673,-0.0156,-0.0174,-0.0159,-0.0163
FoodMarket2_4k,fast_vs_medium,0.3693,-0.0157,-0.0175,-0.0160,-0.0164
FoodMarket2_4k,slow_vs_medium,-6.0960,0.2781,0.0325,0.0491,0.1199
FoodMarket2_4k,slower_vs_medium,-6.2331,0.2846,0.0355,0.0502,0.1234
FoodMarket2_4k,veryslow_vs_medium,-6.2310,0.2845,0.0355,0.0501,0.1234
FoodMarket2_4k,placebo_vs_medium,-6.2892,0.2873,0.0385,0.0541,0.1266
Neon1224_4k,ultrafast_vs_medium,25.4339,-1.0509,-0.0886,-0.1690,-0.4362
Neon1224_4k,superfast_vs_medium,1.7704,-0.0827,-0.1233,-0.1152,-0.1071
Neon1224_4k,veryfast_vs_medium,0.3529,-0.0165,-0.0097,-0.0094,-0.0119
Neon1224_4k,faster_vs_medium,0.3529,-0.0165,-0.0097,-0.0094,-0.0119
Neon1224_4k,fast_vs_medium,0.3552,-0.0166,-0.0098,-0.0095,-0.0120
Neon1224_4k,slow_vs_medium,-4.1609,0.2021,0.1617,0.1233,0.1624
Neon1224_4k,slower_vs_medium,-4.9242,0.2397,0.1831,0.1406,0.1878
Neon1224_4k,veryslow_vs_medium,-4.9219,0.2396,0.1830,0.1405,0.1877
Neon1224_4k,placebo_vs_medium,-4.8213,0.2350,0.1930,0.1498,0.1926
NocturneDance_4k,ultrafast_vs_medium,9.8961,-0.4510,-0.2672,-0.1916,-0.3033
NocturneDance_4k,superfast_vs_medium,1.1147,-0.0538,-0.0182,-0.0245,-0.0322
NocturneDance_4k,veryfast_vs_medium,0.2716,-0.0131,-0.0042,-0.0003,-0.0059
NocturneDance_4k,faster_vs_medium,0.2716,-0.0131,-0.0042,-0.0003,-0.0059
NocturneDance_4k,fast_vs_medium,0.2735,-0.0132,-0.0043,-0.0003,-0.0059
NocturneDance_4k,slow_vs_medium,-6.8847,0.3424,-0.1190,0.0025,0.0753
NocturneDance_4k,slower_vs_medium,-7.3414,0.3670,-0.0876,0.0246,0.1013
NocturneDance_4k,veryslow_vs_medium,-7.3394,0.3669,-0.0877,0.0245,0.1013
NocturneDance_4k,placebo_vs_medium,-7.2942,0.3640,-0.0952,0.0207,0.0965
PierSeaSide_4k,ultrafast_vs_medium,10.4624,-0.4217,-0.0580,-0.0923,-0.1907
PierSeaSide_4k,superfast_vs_medium,1.8529,-0.0777,-0.0387,-0.0290,-0.0485
PierSeaSide_4k,veryfast_vs_medium,0.2071,-0.0089,-0.0006,-0.0016,-0.0037
PierSeaSide_4k,faster_vs_medium,0.2071,-0.0089,-0.0006,-0.0016,-0.0037
PierSeaSide_4k,fast_vs_medium,0.2110,-0.0090,-0.0007,-0.0017,-0.0038
PierSeaSide_4k,slow_vs_medium,-5.2631,0.2314,-0.0289,-0.0852,0.0391
PierSeaSide_4k,slower_vs_medium,-5.4536,0.2405,-0.0227,-0.0791,0.0462
PierSeaSide_4k,veryslow_vs_medium,-5.4496,0.2403,-0.0229,-0.0792,0.0461
PierSeaSide_4k,placebo_vs_medium,-5.3087,0.2349,-0.0231,-0.0801,0.0439
Tango_4k,ultrafast_vs_medium,5.7026,-0.0871,-0.0020,-0.0261,-0.0384
Tango_4k,superfast_vs_medium,1.5429,-0.0239,-0.0226,-0.0326,-0.0264
Tango_4k,veryfast_vs_medium,0.4787,-0.0075,-0.0104,-0.0127,-0.0102
Tango_4k,faster_vs_medium,0.4787,-0.0075,-0.0104,-0.0127,-0.0102
Tango_4k,fast_vs_medium,0.4819,-0.0075,-0.0105,-0.0128,-0.0103
Tango_4k,slow_vs_medium,-6.3449,0.1105,0.1805,0.0926,0.1278
Tango_4k,slower_vs_medium,-6.7497,0.1174,0.1812,0.0987,0.1324
Tango_4k,veryslow_vs_medium,-6.7460,0.1173,0.1812,0.0986,0.1324
Tango_4k,placebo_vs_medium,-6.6723,0.1154,0.1820,0.0994,0.1323
TimeLapse_4k,ultrafast_vs_medium,10.4420,-0.4289,0.0531,0.1327,-0.0811
TimeLapse_4k,superfast_vs_medium,1.2824,-0.0554,-0.0260,-0.0271,-0.0362
TimeLapse_4k,veryfast_vs_medium,0.2601,-0.0113,-0.0028,-0.0005,-0.0049
TimeLapse_4k,faster_vs_medium,0.2601,-0.0113,-0.0028,-0.0005,-0.0049
TimeLapse_4k,fast_vs_medium,0.2617,-0.0114,-0.0028,-0.0006,-0.0049
TimeLapse_4k,slow_vs_medium,-5.1088,0.2281,-0.1637,-0.0304,0.0113
TimeLapse_4k,slower_vs_medium,-5.4293,0.2429,-0.1365,-0.0122,0.0314
TimeLapse_4k,veryslow_vs_medium,-5.4277,0.2428,-0.1366,-0.0123,0.0313
TimeLapse_4k,placebo_vs_medium,-5.3924,0.2413,-0.1363,-0.0096,0.0318
Boat_2k,ultrafast_vs_medium,10.0593,-0.6777,-0.2392,-0.2780,-0.3983
Boat_2k,superfast_vs_medium,1.7329,-0.1227,-0.0840,-0.1300,-0.1123
Boat_2k,veryfast_vs_medium,0.1486,-0.0107,0.0005,0.0003,-0.0033
Boat_2k,faster_vs_medium,0.1486,-0.0107,0.0005,0.0003,-0.0033
Boat_2k,fast_vs_medium,0.1502,-0.0109,0.0004,0.0003,-0.0034
Boat_2k,slow_vs_medium,-5.2099,0.3813,-0.2196,-0.1649,-0.0011
Boat_2k,slower_vs_medium,-5.3608,0.3929,-0.2081,-0.1543,0.0101
Boat_2k,veryslow_vs_medium,-5.3591,0.3927,-0.2082,-0.1544,0.0101
Boat_2k,placebo_vs_medium,-5.2566,0.3849,-0.2112,-0.1543,0.0065
FoodMarket_2k,ultrafast_vs_medium,10.2841,-0.3122,-0.0831,-0.0189,-0.1381
FoodMarket_2k,superfast_vs_medium,1.5061,-0.0478,-0.0134,-0.0164,-0.0258
FoodMarket_2k,veryfast_vs_medium,0.3532,-0.0111,-0.0042,-0.0068,-0.0074
FoodMarket_2k,faster_vs_medium,0.3532,-0.0111,-0.0042,-0.0068,-0.0074
FoodMarket_2k,fast_vs_medium,0.3583,-0.0112,-0.0043,-0.0069,-0.0075
FoodMarket_2k,slow_vs_medium,-5.0491,0.1675,-0.0626,0.0081,0.0376
FoodMarket_2k,slower_vs_medium,-5.4397,0.1806,-0.0492,0.0207,0.0507
FoodMarket_2k,veryslow_vs_medium,-5.4343,0.1805,-0.0493,0.0206,0.0506
FoodMarket_2k,placebo_vs_medium,-5.4853,0.1821,-0.0435,0.0256,0.0548
MeridianTalk_sdr_2k,ultrafast_vs_medium,16.6019,-0.3636,-0.0612,-0.0213,-0.1487
MeridianTalk_sdr_2k,superfast_vs_medium,2.6764,-0.0628,-0.0294,-0.0423,-0.0448
MeridianTalk_sdr_2k,veryfast_vs_medium,0.4021,-0.0100,0.0013,0.0050,-0.0012
MeridianTalk_sdr_2k,faster_vs_medium,0.4021,-0.0100,0.0013,0.0050,-0.0012
MeridianTalk_sdr_2k,fast_vs_medium,0.4158,-0.0103,0.0011,0.0047,-0.0015
MeridianTalk_sdr_2k,slow_vs_medium,-4.2842,0.1121,-0.0375,0.0453,0.0399
MeridianTalk_sdr_2k,slower_vs_medium,-4.9816,0.1302,-0.0215,0.0596,0.0561
MeridianTalk_sdr_2k,veryslow_vs_medium,-4.9669,0.1299,-0.0218,0.0591,0.0557
MeridianTalk_sdr_2k,placebo_vs_medium,-4.5848,0.1197,-0.0300,0.0530,0.0476
RushFieldCuts_2k,ultrafast_vs_medium,19.4515,-1.2440,-0.3601,-0.2374,-0.6138
RushFieldCuts_2k,superfast_vs_medium,0.8019,-0.0584,-0.0089,-0.0150,-0.0275
RushFieldCuts_2k,veryfast_vs_medium,0.2704,-0.0197,0.0113,0.0133,0.0016
RushFieldCuts_2k,faster_vs_medium,0.2704,-0.0197,0.0113,0.0133,0.0016
RushFieldCuts_2k,fast_vs_medium,0.2726,-0.0199,0.0112,0.0132,0.0015
RushFieldCuts_2k,slow_vs_medium,-3.8268,0.2874,-0.1032,-0.0394,0.0483
RushFieldCuts_2k,slower_vs_medium,-4.0825,0.3090,-0.0575,0.0101,0.0872
RushFieldCuts_2k,veryslow_vs_medium,-4.0803,0.3089,-0.0576,0.0100,0.0871
RushFieldCuts_2k,placebo_vs_medium,-4.0617,0.3066,-0.0616,0.0051,0.0834
ToddlerFountain_2k,ultrafast_vs_medium,15.5974,-0.7531,0.3236,0.0794,-0.1167
ToddlerFountain_2k,superfast_vs_medium,1.4232,-0.0753,-0.0565,-0.0284,-0.0534
ToddlerFountain_2k,veryfast_vs_medium,0.2620,-0.0145,0.0207,0.0105,0.0056
ToddlerFountain_2k,faster_vs_medium,0.2620,-0.0145,0.0207,0.0105,0.0056
ToddlerFountain_2k,fast_vs_medium,0.2643,-0.0146,0.0207,0.0105,0.0055
ToddlerFountain_2k,slow_vs_medium,-4.2117,0.2302,-0.0221,-0.1512,0.0189
ToddlerFountain_2k,slower_vs_medium,-4.5598,0.2481,-0.0012,-0.1311,0.0386
ToddlerFountain_2k,veryslow_vs_medium,-4.5575,0.2480,-0.0013,-0.1311,0.0385
ToddlerFountain_2k,placebo_vs_medium,-4.6412,0.2544,0.0041,-0.1270,0.0438
TreesAndGrass_2k,ultrafast_vs_medium,9.4586,-0.8118,-0.0852,0.0795,-0.2725
TreesAndGrass_2k,superfast_vs_medium,0.5695,-0.0525,-0.0003,-0.0156,-0.0228
TreesAndGrass_2k,veryfast_vs_medium,0.1114,-0.0100,0.0110,0.0139,0.0050
TreesAndGrass_2k,faster_vs_medium,0.1114,-0.0100,0.0110,0.0139,0.0050
TreesAndGrass_2k,fast_vs_medium,0.1123,-0.0101,0.0110,0.0139,0.0049
TreesAndGrass_2k,slow_vs_medium,-2.9530,0.2740,-0.3116,-0.1413,-0.0596
TreesAndGrass_2k,slower_vs_medium,-3.1054,0.2887,-0.2982,-0.1052,-0.0382
TreesAndGrass_2k,veryslow_vs_medium,-3.1045,0.2886,-0.2982,-0.1052,-0.0383
TreesAndGrass_2k,placebo_vs_medium,-3.0628,0.2847,-0.2935,-0.0978,-0.0355
Aerial3200_2k,ultrafast_vs_medium,8.8007,-0.3735,-0.0075,-0.0221,-0.1344
Aerial3200_2k,superfast_vs_medium,1.0818,-0.0480,-0.0064,-0.0101,-0.0215
Aerial3200_2k,veryfast_vs_medium,0.1664,-0.0073,-0.0011,-0.0012,-0.0032
Aerial3200_2k,faster_vs_medium,0.1664,-0.0073,-0.0011,-0.0012,-0.0032
Aerial3200_2k,fast_vs_medium,0.1690,-0.0074,-0.0012,-0.0013,-0.0033
Aerial3200_2k,slow_vs_medium,-5.5315,0.2521,-0.1191,-0.0557,0.0258
Aerial3200_2k,slower_vs_medium,-5.8524,0.2669,-0.1072,-0.0447,0.0383
Aerial3200_2k,veryslow_vs_medium,-5.8499,0.2667,-0.1072,-0.0448,0.0382
Aerial3200_2k,placebo_vs_medium,-5.7566,0.2630,-0.1034,-0.0415,0.0394
CrowdRun_1080p50,ultrafast_vs_medium,15.9096,-0.9258,-0.4747,-0.4248,-0.6084
CrowdRun_1080p50,superfast_vs_medium,1.0105,-0.0633,-0.0369,-0.0373,-0.0458
CrowdRun_1080p50,veryfast_vs_medium,0.2051,-0.0128,0.0001,0.0018,-0.0036
CrowdRun_1080p50,faster_vs_medium,0.2051,-0.0128,0.0001,0.0018,-0.0036
CrowdRun_1080p50,fast_vs_medium,0.2065,-0.0129,0.0000,0.0018,-0.0037
CrowdRun_1080p50,slow_vs_medium,-5.0520,0.3219,-0.1213,-0.0810,0.0399
CrowdRun_1080p50,slower_vs_medium,-5.2857,0.3375,-0.0993,-0.0585,0.0599
CrowdRun_1080p50,veryslow_vs_medium,-5.2842,0.3374,-0.0994,-0.0585,0.0598
CrowdRun_1080p50,placebo_vs_medium,-5.2784,0.3367,-0.0845,-0.0475,0.0682
DinnerSceneCropped_2k,ultrafast_vs_medium,2.5897,-0.0667,-0.0077,0.0168,-0.0192
DinnerSceneCropped_2k,superfast_vs_medium,1.3392,-0.0235,-0.0060,-0.0092,-0.0129
DinnerSceneCropped_2k,veryfast_vs_medium,0.5098,-0.0048,-0.0084,-0.0088,-0.0073
DinnerSceneCropped_2k,faster_vs_medium,0.5098,-0.0048,-0.0084,-0.0088,-0.0073
DinnerSceneCropped_2k,fast_vs_medium,0.5142,-0.0050,-0.0084,-0.0089,-0.0074
DinnerSceneCropped_2k,slow_vs_medium,-21.8290,0.2345,0.1396,0.2601,0.2114
DinnerSceneCropped_2k,slower_vs_medium,-22.5178,0.2379,0.1360,0.2666,0.2135
DinnerSceneCropped_2k,veryslow_vs_medium,-22.5131,0.2377,0.1359,0.2665,0.2134
DinnerSceneCropped_2k,placebo_vs_medium,-20.6946,0.2277,0.1233,0.2589,0.2033
Motorcycle_2k,ultrafast_vs_medium,33.9719,-2.3683,-0.6062,-0.4465,-1.1403
Motorcycle_2k,superfast_vs_medium,1.7148,-0.1468,-0.0565,-0.0639,-0.0891
Motorcycle_2k,veryfast_vs_medium,0.2601,-0.0217,0.0068,0.0059,-0.0030
Motorcycle_2k,faster_vs_medium,0.2601,-0.0217,0.0068,0.0059,-0.0030
Motorcycle_2k,fast_vs_medium,0.2618,-0.0219,0.0067,0.0059,-0.0031
Motorcycle_2k,slow_vs_medium,-3.5393,0.3103,-0.1809,-0.0654,0.0213
Motorcycle_2k,slower_vs_medium,-3.9965,0.3505,-0.1220,0.0063,0.0783
Motorcycle_2k,veryslow_vs_medium,-3.9947,0.3503,-0.1221,0.0062,0.0781
Motorcycle_2k,placebo_vs_medium,-4.0056,0.3517,-0.1197,0.0092,0.0804
MountainBike_2k,ultrafast_vs_medium,25.6770,-1.7128,-0.2359,-0.1400,-0.6963
MountainBike_2k,superfast_vs_medium,2.2287,-0.1761,-0.1306,-0.0990,-0.1352
MountainBike_2k,veryfast_vs_medium,0.2099,-0.0164,0.0122,0.0126,0.0028
MountainBike_2k,faster_vs_medium,0.2099,-0.0164,0.0122,0.0126,0.0028
MountainBike_2k,fast_vs_medium,0.2119,-0.0166,0.0121,0.0125,0.0027
MountainBike_2k,slow_vs_medium,-2.8270,0.2268,-0.0809,-0.1208,0.0084
MountainBike_2k,slower_vs_medium,-3.3569,0.2702,-0.0178,-0.0575,0.0650
MountainBike_2k,veryslow_vs_medium,-3.3550,0.2701,-0.0179,-0.0576,0.0649
MountainBike_2k,placebo_vs_medium,-3.3900,0.2735,-0.0142,-0.0551,0.0681
OldTownCross_1080p50,ultrafast_vs_medium,13.4299,-0.4413,-0.0627,-0.0856,-0.1966
OldTownCross_1080p50,superfast_vs_medium,1.1842,-0.0408,-0.0116,-0.0153,-0.0226
OldTownCross_1080p50,veryfast_vs_medium,0.0854,-0.0034,0.0043,0.0077,0.0029
OldTownCross_1080p50,faster_vs_medium,0.0854,-0.0034,0.0043,0.0077,0.0029
OldTownCross_1080p50,fast_vs_medium,0.0881,-0.0035,0.0043,0.0077,0.0028
OldTownCross_1080p50,slow_vs_medium,-8.0538,0.2823,-0.0691,-0.0225,0.0636
OldTownCross_1080p50,slower_vs_medium,-8.4177,0.2963,-0.0577,-0.0067,0.0773
OldTownCross_1080p50,veryslow_vs_medium,-8.4150,0.2962,-0.0577,-0.0068,0.0772
OldTownCross_1080p50,placebo_vs_medium,-8.2358,0.2894,-0.0566,-0.0058,0.0757
PedestrianArea_1080p25,ultrafast_vs_medium,11.4378,-0.3837,0.0005,-0.0041,-0.1291
PedestrianArea_1080p25,superfast_vs_medium,1.8450,-0.0637,-0.0232,-0.0490,-0.0453
PedestrianArea_1080p25,veryfast_vs_medium,0.4920,-0.0164,-0.0058,-0.0111,-0.0111
PedestrianArea_1080p25,faster_vs_medium,0.4920,-0.0164,-0.0058,-0.0111,-0.0111
PedestrianArea_1080p25,fast_vs_medium,0.5021,-0.0168,-0.0061,-0.0114,-0.0114
PedestrianArea_1080p25,slow_vs_medium,-4.8316,0.1789,-0.0170,0.0672,0.0764
PedestrianArea_1080p25,slower_vs_medium,-5.2320,0.1950,0.0118,0.0853,0.0974
PedestrianArea_1080p25,veryslow_vs_medium,-5.2215,0.1946,0.0115,0.0849,0.0970
PedestrianArea_1080p25,placebo_vs_medium,-4.9606,0.1841,0.0031,0.0788,0.0887
RitualDance_2k,ultrafast_vs_medium,25.1159,-1.2269,-0.3943,-0.4679,-0.6964
RitualDance_2k,superfast_vs_medium,1.9234,-0.1063,-0.0579,-0.0815,-0.0819
RitualDance_2k,veryfast_vs_medium,0.2584,-0.0156,-0.0005,-0.0040,-0.0067
RitualDance_2k,faster_vs_medium,0.2584,-0.0156,-0.0005,-0.0040,-0.0067
RitualDance_2k,fast_vs_medium,0.2695,-0.0162,-0.0009,-0.0044,-0.0072
RitualDance_2k,slow_vs_medium,-3.7200,0.2132,-0.1367,-0.0719,0.0015
RitualDance_2k,slower_vs_medium,-4.4582,0.2571,-0.0879,-0.0228,0.0488
RitualDance_2k,veryslow_vs_medium,-4.4469,0.2564,-0.0883,-0.0233,0.0483
RitualDance_2k,placebo_vs_medium,-4.1905,0.2410,-0.1038,-0.0339,0.0344
Riverbed_1080p25,ultrafast_vs_medium,4.5800,-0.1943,-0.0456,-0.0420,-0.0940
Riverbed_1080p25,superfast_vs_medium,1.0274,-0.0446,-0.0122,-0.0122,-0.0230
Riverbed_1080p25,veryfast_vs_medium,0.3112,-0.0135,-0.0134,-0.0107,-0.0125
Riverbed_1080p25,faster_vs_medium,0.3112,-0.0135,-0.0134,-0.0107,-0.0125
Riverbed_1080p25,fast_vs_medium,0.3154,-0.0136,-0.0135,-0.0108,-0.0126
Riverbed_1080p25,slow_vs_medium,-6.2869,0.2859,-0.0680,-0.0379,0.0600
Riverbed_1080p25,slower_vs_medium,-6.6803,0.3038,-0.0639,-0.0333,0.0689
Riverbed_1080p25,veryslow_vs_medium,-6.6760,0.3036,-0.0640,-0.0335,0.0687
Riverbed_1080p25,placebo_vs_medium,-6.5732,0.2992,-0.0615,-0.0316,0.0687
Skater227_2k,ultrafast_vs_medium,6.4771,-0.2895,-0.0720,-0.0367,-0.1328
Skater227_2k,superfast_vs_medium,2.7038,-0.1240,-0.0563,-0.0549,-0.0784
Skater227_2k,veryfast_vs_medium,0.8133,-0.0370,-0.0221,-0.0191,-0.0260
Skater227_2k,faster_vs_medium,0.8133,-0.0370,-0.0221,-0.0191,-0.0260
Skater227_2k,fast_vs_medium,0.8369,-0.0381,-0.0233,-0.0202,-0.0272
Skater227_2k,slow_vs_medium,-2.1220,0.1042,-0.0243,0.0001,0.0266
Skater227_2k,slower_vs_medium,-3.1227,0.1508,0.0214,0.0536,0.0753
Skater227_2k,veryslow_vs_medium,-3.0988,0.1496,0.0201,0.0524,0.0741
Skater227_2k,placebo_vs_medium,-2.8561,0.1388,0.0060,0.0362,0.0603
TunnelFlag_2k,ultrafast_vs_medium,22.1043,-1.1211,-0.4531,-0.3929,-0.6557
TunnelFlag_2k,superfast_vs_medium,2.3966,-0.1286,-0.0769,-0.0947,-0.1001
TunnelFlag_2k,veryfast_vs_medium,-0.0668,0.0038,0.0112,0.0105,0.0085
TunnelFlag_2k,faster_vs_medium,-0.0668,0.0038,0.0112,0.0105,0.0085
TunnelFlag_2k,fast_vs_medium,-0.0631,0.0036,0.0110,0.0103,0.0083
TunnelFlag_2k,slow_vs_medium,-4.7701,0.2656,-0.1867,-0.0106,0.0228
TunnelFlag_2k,slower_vs_medium,-5.4659,0.3045,-0.1234,0.0556,0.0789
TunnelFlag_2k,veryslow_vs_medium,-5.4622,0.3043,-0.1235,0.0554,0.0787
TunnelFlag_2k,placebo_vs_medium,-5.3839,0.3009,-0.1316,0.0510,0.0735
Vertical_bees_2k,ultrafast_vs_medium,16.0535,-0.9911,-0.0304,-0.3579,-0.4598
Vertical_bees_2k,superfast_vs_medium,2.4344,-0.1602,-0.0781,-0.1213,-0.1199
Vertical_bees_2k,veryfast_vs_medium,0.4910,-0.0327,-0.0105,-0.0123,-0.0185
Vertical_bees_2k,faster_vs_medium,0.4910,-0.0327,-0.0105,-0.0123,-0.0185
Vertical_bees_2k,fast_vs_medium,0.4960,-0.0330,-0.0108,-0.0125,-0.0187
Vertical_bees_2k,slow_vs_medium,-3.2923,0.2226,0.0113,0.0673,0.1004
Vertical_bees_2k,slower_vs_medium,-3.6228,0.2451,0.0314,0.0958,0.1241
Vertical_bees_2k,veryslow_vs_medium,-3.6177,0.2448,0.0312,0.0955,0.1238
Vertical_bees_2k,placebo_vs_medium,-3.6011,0.2442,0.0297,0.1289,0.1343
Vertical_Carnaby_2k,ultrafast_vs_medium,8.7129,-0.4822,-0.0737,-0.0600,-0.2053
Vertical_Carnaby_2k,superfast_vs_medium,2.1343,-0.1222,-0.0574,-0.0542,-0.0779
Vertical_Carnaby_2k,veryfast_vs_medium,0.4328,-0.0249,-0.0274,-0.0251,-0.0258
Vertical_Carnaby_2k,faster_vs_medium,0.4328,-0.0249,-0.0274,-0.0251,-0.0258
Vertical_Carnaby_2k,fast_vs_medium,0.4445,-0.0256,-0.0280,-0.0257,-0.0264
