video_name,qp,preset,bitrate_kbps,psnr_y
ControlledBurn_720p,22,ultrafast,40355.28,43.2911
ControlledBurn_720p,27,ultrafast,26391.12,40.0525
ControlledBurn_720p,32,ultrafast,15961.20,36.8320
ControlledBurn_720p,37,ultrafast,8901.12,33.8219
ControlledBurn_720p,22,superfast,38339.52,43.6735
ControlledBurn_720p,27,superfast,25036.08,40.4082
ControlledBurn_720p,32,superfast,15305.76,37.1779
ControlledBurn_720p,37,superfast,8675.76,34.1125
ControlledBurn_720p,22,veryfast,38349.84,43.7140
ControlledBurn_720p,27,veryfast,25029.36,40.4605
ControlledBurn_720p,32,veryfast,15313.68,37.2296
ControlledBurn_720p,37,veryfast,8684.40,34.1531
ControlledBurn_720p,22,faster,38349.84,43.7140
ControlledBurn_720p,27,faster,25029.36,40.4605
ControlledBurn_720p,32,faster,15313.68,37.2296
ControlledBurn_720p,37,faster,8684.40,34.1531
ControlledBurn_720p,22,fast,38350.56,43.7140
ControlledBurn_720p,27,fast,25030.08,40.4605
ControlledBurn_720p,32,fast,15314.40,37.2296
ControlledBurn_720p,37,fast,8685.12,34.1531
ControlledBurn_720p,22,medium,38310.00,43.7253
ControlledBurn_720p,27,medium,25037.52,40.4690
ControlledBurn_720p,32,medium,15297.60,37.2380
ControlledBurn_720p,37,medium,8688.24,34.1616
ControlledBurn_720p,22,slow,36729.36,43.5846
ControlledBurn_720p,27,slow,23713.68,40.2624
ControlledBurn_720p,32,slow,14173.44,36.9548
ControlledBurn_720p,37,slow,7670.40,33.7558
ControlledBurn_720p,22,slower,36717.60,43.5951
ControlledBurn_720p,27,slower,23651.76,40.2723
ControlledBurn_720p,32,slower,14132.40,36.9675
ControlledBurn_720p,37,slower,7661.76,33.7734
ControlledBurn_720p,22,veryslow,36718.32,43.5951
ControlledBurn_720p,27,veryslow,23652.48,40.2723
ControlledBurn_720p,32,veryslow,14133.12,36.9675
ControlledBurn_720p,37,veryslow,7662.48,33.7734
ControlledBurn_720p,22,placebo,36708.96,43.5969
ControlledBurn_720p,27,placebo,23625.36,40.2753
ControlledBurn_720p,32,placebo,14174.64,36.9681
ControlledBurn_720p,37,placebo,7643.04,33.7676
Aerial_2k,22,ultrafast,171246.33,41.9620
Aerial_2k,27,ultrafast,93981.81,38.7544
Aerial_2k,32,ultrafast,47320.36,35.7372
Aerial_2k,37,ultrafast,22895.78,33.0897
Aerial_2k,22,superfast,168001.33,42.2185
Aerial_2k,27,superfast,91776.16,38.9720
Aerial_2k,32,superfast,46424.98,35.9617
Aerial_2k,37,superfast,22691.87,33.2718
Aerial_2k,22,veryfast,168103.75,42.2400
Aerial_2k,27,veryfast,91821.47,39.0180
Aerial_2k,32,veryfast,46376.84,36.0084
Aerial_2k,37,veryfast,22673.46,33.2911
Aerial_2k,22,faster,168103.75,42.2400
Aerial_2k,27,faster,91821.47,39.0180
Aerial_2k,32,faster,46376.84,36.0084
Aerial_2k,37,faster,22673.46,33.2911
