video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
BoxingPractice_4k,22,ultrafast,201691.27,43.2464,47.8333,47.4407
BoxingPractice_4k,27,ultrafast,92214.17,41.3800,45.8866,45.4048
BoxingPractice_4k,32,ultrafast,50633.33,39.7140,44.1898,43.6227
BoxingPractice_4k,37,ultrafast,29904.03,37.7310,42.7644,42.1730
BoxingPractice_4k,22,superfast,194001.92,43.4087,47.8597,47.4663
BoxingPractice_4k,27,superfast,87157.16,41.5340,45.8320,45.3524
BoxingPractice_4k,32,superfast,48154.86,39.9226,44.0639,43.5010
BoxingPractice_4k,37,superfast,28730.64,37.9505,42.5900,42.0074
BoxingPractice_4k,22,veryfast,194417.75,43.4304,47.9138,47.5113
BoxingPractice_4k,27,veryfast,86947.12,41.5689,45.8758,45.3855
BoxingPractice_4k,32,veryfast,48016.56,39.9624,44.0820,43.5113
BoxingPractice_4k,37,veryfast,28528.62,37.9794,42.5874,42.0096
BoxingPractice_4k,22,faster,194417.75,43.4304,47.9138,47.5113
BoxingPractice_4k,27,faster,86947.12,41.5689,45.8758,45.3855
BoxingPractice_4k,32,faster,48016.56,39.9624,44.0820,43.5113
BoxingPractice_4k,37,faster,28528.62,37.9794,42.5874,42.0096
BoxingPractice_4k,22,fast,194419.17,43.4304,47.9138,47.5113
BoxingPractice_4k,27,fast,86948.54,41.5689,45.8758,45.3855
BoxingPractice_4k,32,fast,48017.98,39.9624,44.0820,43.5113
BoxingPractice_4k,37,fast,28530.04,37.9794,42.5874,42.0096
BoxingPractice_4k,22,medium,193890.06,43.4334,47.9153,47.5125
BoxingPractice_4k,27,medium,86730.48,41.5719,45.8777,45.3871
BoxingPractice_4k,32,medium,47899.04,39.9664,44.0832,43.5140
BoxingPractice_4k,37,medium,28574.41,37.9835,42.5919,42.0168
BoxingPractice_4k,22,slow,149519.70,42.9521,47.6104,47.1937
BoxingPractice_4k,27,slow,73568.28,41.3482,45.4962,44.9275
BoxingPractice_4k,32,slow,42310.55,39.7280,43.5436,42.8768
BoxingPractice_4k,37,slow,24832.39,37.6318,41.9853,41.3255
BoxingPractice_4k,22,slower,149633.92,42.9605,47.6178,47.1987
BoxingPractice_4k,27,slower,73414.88,41.3555,45.5086,44.9390
BoxingPractice_4k,32,slower,42215.68,39.7404,43.5712,42.9069
BoxingPractice_4k,37,slower,24761.59,37.6519,42.0260,41.3625
BoxingPractice_4k,22,veryslow,149635.34,42.9605,47.6178,47.1987
BoxingPractice_4k,27,veryslow,73416.30,41.3555,45.5086,44.9390
BoxingPractice_4k,32,veryslow,42217.10,39.7404,43.5712,42.9069
BoxingPractice_4k,37,veryslow,24763.01,37.6519,42.0260,41.3625
BoxingPractice_4k,22,placebo,149896.36,42.9615,47.6217,47.2022
BoxingPractice_4k,27,placebo,73551.29,41.3579,45.5118,44.9421
BoxingPractice_4k,32,placebo,42284.12,39.7399,43.5732,42.9015
BoxingPractice_4k,37,placebo,24830.51,37.6477,42.0190,41.3560
Crosswalk_4k,22,ultrafast,107054.33,43.2931,48.3436,50.6639
Crosswalk_4k,27,ultrafast,38101.73,42.2669,47.2219,49.5496
Crosswalk_4k,32,ultrafast,20832.66,41.3761,46.0732,48.1514
Crosswalk_4k,37,ultrafast,12763.83,40.1112,45.0217,46.8315
Crosswalk_4k,22,superfast,107570.23,43.3244,48.3266,50.6253
Crosswalk_4k,27,superfast,37967.21,42.2870,47.2323,49.5720
Crosswalk_4k,32,superfast,20772.25,41.3993,46.0832,48.1735
Crosswalk_4k,37,superfast,12713.32,40.1337,45.0515,46.8818
Crosswalk_4k,22,veryfast,107546.15,43.3379,48.3452,50.6570
Crosswalk_4k,27,veryfast,37888.86,42.3073,47.2307,49.5656
Crosswalk_4k,32,veryfast,20645.28,41.4131,46.0844,48.1750
Crosswalk_4k,37,veryfast,12553.31,40.1368,45.0554,46.8827
Crosswalk_4k,22,faster,107546.15,43.3379,48.3452,50.6570
Crosswalk_4k,27,faster,37888.86,42.3073,47.2307,49.5656
Crosswalk_4k,32,faster,20645.28,41.4131,46.0844,48.1750
Crosswalk_4k,37,faster,12553.31,40.1368,45.0554,46.8827
Crosswalk_4k,22,fast,107547.56,43.3379,48.3452,50.6570
Crosswalk_4k,27,fast,37890.27,42.3073,47.2307,49.5656
Crosswalk_4k,32,fast,20646.70,41.4131,46.0844,48.1750
Crosswalk_4k,37,fast,12554.73,40.1368,45.0554,46.8827
Crosswalk_4k,22,medium,107444.20,43.3400,48.3578,50.6749
Crosswalk_4k,27,medium,37635.39,42.3119,47.2290,49.5603
Crosswalk_4k,32,medium,20498.49,41.4231,46.0834,48.1703
Crosswalk_4k,37,medium,12458.44,40.1502,45.0498,46.8731
Crosswalk_4k,22,slow,63662.42,42.9123,48.1195,50.5555
Crosswalk_4k,27,slow,31559.34,42.2064,47.0439,49.4544
Crosswalk_4k,32,slow,18260.74,41.2953,45.7624,47.8826
Crosswalk_4k,37,slow,11188.29,39.9478,44.6521,46.4888
Crosswalk_4k,22,slower,63606.73,42.9190,48.1222,50.5513
Crosswalk_4k,27,slower,31571.14,42.2156,47.0480,49.4557
Crosswalk_4k,32,slower,18253.18,41.3077,45.7706,47.8863
Crosswalk_4k,37,slower,11172.24,39.9672,44.6606,46.4912
Crosswalk_4k,22,veryslow,63608.14,42.9190,48.1222,50.5513
Crosswalk_4k,27,veryslow,31572.55,42.2156,47.0480,49.4557
Crosswalk_4k,32,veryslow,18254.60,41.3077,45.7706,47.8863
Crosswalk_4k,37,veryslow,11173.66,39.9672,44.6606,46.4912
Crosswalk_4k,22,placebo,63583.60,42.9180,48.1218,50.5516
Crosswalk_4k,27,placebo,31539.99,42.2149,47.0469,49.4592
Crosswalk_4k,32,placebo,18174.83,41.3070,45.7695,47.8881
Crosswalk_4k,37,placebo,11157.14,39.9685,44.6577,46.4988
FoodMarket2_4k,22,ultrafast,190724.83,43.5935,47.2759,47.1804
FoodMarket2_4k,27,ultrafast,106721.56,41.4542,44.7745,44.8088
FoodMarket2_4k,32,ultrafast,61636.12,39.0722,42.6526,42.8001
FoodMarket2_4k,37,ultrafast,36754.64,36.4784,41.0063,41.2066
FoodMarket2_4k,22,superfast,189083.20,43.7254,47.3018,47.2116
FoodMarket2_4k,27,superfast,105854.50,41.5849,44.7445,44.7771
FoodMarket2_4k,32,superfast,61366.61,39.2255,42.5804,42.7297
FoodMarket2_4k,37,superfast,36734.82,36.6253,40.9159,41.1245
FoodMarket2_4k,22,veryfast,189047.81,43.7550,47.3657,47.2830
FoodMarket2_4k,27,veryfast,105620.38,41.6323,44.7721,44.8096
FoodMarket2_4k,32,veryfast,61178.76,39.2803,42.5818,42.7334
FoodMarket2_4k,37,veryfast,36458.70,36.6535,40.9067,41.1181
FoodMarket2_4k,22,faster,189047.81,43.7550,47.3657,47.2830
FoodMarket2_4k,27,faster,105620.38,41.6323,44.7721,44.8096
FoodMarket2_4k,32,faster,61178.76,39.2803,42.5818,42.7334
FoodMarket2_4k,37,faster,36458.70,36.6535,40.9067,41.1181
FoodMarket2_4k,22,fast,189049.22,43.7550,47.3657,47.2830
FoodMarket2_4k,27,fast,105621.80,41.6323,44.7721,44.8096
FoodMarket2_4k,32,fast,61180.17,39.2803,42.5818,42.7334
FoodMarket2_4k,37,fast,36460.11,36.6535,40.9067,41.1181
FoodMarket2_4k,22,medium,188815.11,43.7622,47.3691,47.2865
FoodMarket2_4k,27,medium,105426.40,41.6379,44.7798,44.8155
FoodMarket2_4k,32,medium,60986.65,39.2874,42.5935,42.7445
FoodMarket2_4k,37,medium,36428.02,36.6595,40.9207,41.1299
FoodMarket2_4k,22,slow,158995.56,43.4369,47.0355,46.9231
FoodMarket2_4k,27,slow,92350.58,41.4009,44.3385,44.4111
FoodMarket2_4k,32,slow,54766.63,39.0209,42.0428,42.2603
FoodMarket2_4k,37,slow,31901.54,36.2839,40.3538,40.6148
FoodMarket2_4k,22,slower,158885.11,43.4438,47.0326,46.9220
FoodMarket2_4k,27,slower,92231.16,41.4055,44.3389,44.4070
FoodMarket2_4k,32,slower,54873.30,39.0309,42.0504,42.2670
FoodMarket2_4k,37,slower,31927.03,36.3018,40.3622,40.6227
FoodMarket2_4k,22,veryslow,158886.53,43.4438,47.0326,46.9220
FoodMarket2_4k,27,veryslow,92232.58,41.4055,44.3389,44.4070
FoodMarket2_4k,32,veryslow,54874.72,39.0309,42.0504,42.2670
FoodMarket2_4k,37,veryslow,31928.44,36.3018,40.3622,40.6227
FoodMarket2_4k,22,placebo,158794.50,43.4449,47.0369,46.9255
FoodMarket2_4k,27,placebo,92283.09,41.4094,44.3429,44.4124
FoodMarket2_4k,32,placebo,54817.14,39.0314,42.0506,42.2693
FoodMarket2_4k,37,placebo,31957.23,36.3000,40.3641,40.6204
Neon1224_4k,22,ultrafast,89287.06,46.0339,49.9876,49.4586
Neon1224_4k,27,ultrafast,48990.98,43.3663,47.4508,46.7973
Neon1224_4k,32,ultrafast,27615.43,40.8021,45.0863,44.4028
Neon1224_4k,37,ultrafast,16405.19,38.3548,43.0670,42.3477
Neon1224_4k,22,superfast,84579.55,46.8524,49.8076,49.3559
Neon1224_4k,27,superfast,46100.26,44.1263,47.1934,46.6414
Neon1224_4k,32,superfast,25778.68,41.3898,44.7175,44.1029
Neon1224_4k,37,superfast,15362.11,38.8070,42.7132,42.0413
Neon1224_4k,22,veryfast,84906.44,46.9208,49.9462,49.4831
Neon1224_4k,27,veryfast,46081.00,44.1948,47.3189,46.7591
Neon1224_4k,32,veryfast,25752.00,41.4511,44.8221,44.1998
Neon1224_4k,37,veryfast,15288.80,38.8499,42.7640,42.0883
Neon1224_4k,22,faster,84906.44,46.9208,49.9462,49.4831
Neon1224_4k,27,faster,46081.00,44.1948,47.3189,46.7591
