Intra_Luma_Mode,slow,medium,fast,ultrafast
Intra luma modes: 0,31136436,31136447,16067833,22845308
Intra luma modes: 1,17059688,17059691,10763942,14467016
Intra luma modes: 2,3367121,3367123,2146607,3726536
Intra luma modes: 3,2954555,2954555,1118897,0
Intra luma modes: 4,2517760,2517762,1071530,2256891
Intra luma modes: 5,2909628,2909628,1329569,0
Intra luma modes: 6,3688113,3688113,1524350,3267101
Intra luma modes: 7,4174548,4174549,1848093,0
Intra luma modes: 8,5277791,5277791,2313130,5093606
Intra luma modes: 9,8186253,8186260,3037661,0
Intra luma modes: 10,17525786,17525788,4820203,9606752
Intra luma modes: 11,7740015,7740015,3021193,0
Intra luma modes: 12,5934498,5934501,2663869,5974519
Intra luma modes: 13,4865464,4865465,1977693,0
Intra luma modes: 14,3851118,3851118,1456626,3494554
Intra luma modes: 15,3247606,3247608,1342012,0
Intra luma modes: 16,2858726,2858728,1035381,2423842
Intra luma modes: 17,3140304,3140304,833990,0
Intra luma modes: 18,2362741,2362742,1703891,3285968
Intra luma modes: 19,3013249,3013251,788600,0
Intra luma modes: 20,2618615,2618615,917324,2217203
Intra luma modes: 21,2843892,2843894,1172669,0
Intra luma modes: 22,3223009,3223009,1229650,2873930
Intra luma modes: 23,3665127,3665127,1512839,0
Intra luma modes: 24,3949766,3949764,1792981,3882245
Intra luma modes: 25,4135706,4135707,2241834,0
Intra luma modes: 26,12517089,12517100,5026037,10443378
Intra luma modes: 27,4308744,4308743,2261405,0
Intra luma modes: 28,3997167,3997172,1794820,4173067
Intra luma modes: 29,3698668,3698668,1576496,0
Intra luma modes: 30,3474932,3474934,1331807,3060842
Intra luma modes: 31,2859170,2859181,1184030,0
Intra luma modes: 32,2572200,2572207,990579,2287543
Intra luma modes: 33,3381289,3381305,1088342,0
Intra luma modes: 34,3353156,3353156,1862160,3430887
