TU_Depth,slow,medium,fast,ultrafast
TU depth (CU 32): 3,0,0,0,0
TU depth (CU 16): 0,0,12439437,11878686,20369141
TU depth (CU 64): 0,0,0,0,0
TU depth (CU 16): 1,0,0,0,0
TU depth (CU 64): 3,0,0,0,0
TU depth (CU 32): 1,0,0,0,0
TU depth (CU 8): 1,0,54897222,53412363,0
TU depth (CU 64): 1,0,0,0,0
TU depth (CU 64): 4,0,0,0,0
TU depth (CU 32): 0,0,5765471,5906427,7020007
TU depth (CU 8): 0,0,24864311,25119923,0
TU depth (CU 32): 2,0,0,0,0
TU depth (CU 64): 2,0,0,0,0
TU depth (CU 16): 2,0,0,0,0
