Intra_Luma_Mode,fast,faster,medium,superfast,ultrafast,veryfast
Intra luma modes: 0,39141686,39141704,40333868,37396867,7342496,39141714
Intra luma modes: 1,20656263,20656302,21343714,19909054,5347074,20656297
Intra luma modes: 2,2104653,2104658,2108804,2053619,404411,2104658
Intra luma modes: 3,2015373,2015386,2004248,1975801,354697,2015378
Intra luma modes: 4,1990232,1990206,1975881,1988871,427182,1990221
Intra luma modes: 5,2393487,2393461,2330596,2405849,513091,2393490
Intra luma modes: 6,3143882,3143865,3140706,3085221,498944,3143870
Intra luma modes: 7,3516395,3516396,3551774,3344770,621019,3516388
Intra luma modes: 8,4669520,4669537,4766823,4535947,839285,4669542
Intra luma modes: 9,9401781,9401772,9543812,8890222,854709,9401782
Intra luma modes: 10,20038371,20038366,20370154,19128576,1591448,20038391
Intra luma modes: 11,8896890,8896869,9015415,8378515,822059,8896876
Intra luma modes: 12,5486768,5486775,5519974,5304290,964684,5486775
Intra luma modes: 13,4190597,4190584,4204202,4041935,619520,4190583
Intra luma modes: 14,3277720,3277711,3289672,3172047,426062,3277712
Intra luma modes: 15,2680978,2680977,2683662,2617030,374161,2680967
Intra luma modes: 16,2302014,2302032,2303459,2245126,326581,2302026
Intra luma modes: 17,2541964,2541984,2541040,2482599,296751,2542000
Intra luma modes: 18,2117377,2117396,2109549,2068624,282805,2117404
Intra luma modes: 19,2415024,2415026,2410693,2350575,292866,2414994
Intra luma modes: 20,2097545,2097534,2093475,2045178,293788,2097542
Intra luma modes: 21,2330300,2330306,2332338,2273092,327054,2330293
Intra luma modes: 22,2747178,2747159,2758435,2660716,372013,2747184
Intra luma modes: 23,2966811,2966797,2967446,2872490,455016,2966820
Intra luma modes: 24,3311961,3311943,3322595,3202142,605776,3311975
Intra luma modes: 25,4056570,4056601,4075367,3836472,592536,4056600
Intra luma modes: 26,15422847,15422779,15798937,15246487,2157685,15422841
Intra luma modes: 27,4379999,4379982,4392323,4154654,687664,4380004
Intra luma modes: 28,3514449,3514425,3526178,3405505,696733,3514439
Intra luma modes: 29,3115345,3115342,3087620,2983052,564139,3115333
Intra luma modes: 30,2974702,2974696,2989290,2901656,458943,2974690
Intra luma modes: 31,2269310,2269314,2277847,2236794,421568,2269317
Intra luma modes: 32,1993164,1993173,1990191,1971698,366104,1993158
Intra luma modes: 33,2284886,2284874,2279333,2243073,349564,2284868
Intra luma modes: 34,2304023,2304022,2282803,2274642,373741,2304024
