PU_Size,fast,faster,medium,superfast,ultrafast,veryfast
PU sizes: 64x64,0,0,0,0,0,0
PU sizes: 64x48,0,0,0,0,0,0
PU sizes: 64x32,0,0,0,0,0,0
PU sizes: 64x16,0,0,0,0,0,0
PU sizes: 48x64,0,0,0,0,0,0
PU sizes: 32x64,0,0,0,0,0,0
PU sizes: 32x32,7257795,7257802,7088183,7447631,8362477,7257800
PU sizes: 32x24,0,0,0,0,0,0
PU sizes: 32x16,0,0,0,0,0,0
PU sizes: 32x8,0,0,0,0,0,0
PU sizes: 24x32,0,0,0,0,0,0
PU sizes: 16x64,0,0,0,0,0,0
PU sizes: 16x32,0,0,0,0,0,0
PU sizes: 16x16,14945369,14945350,15732986,14454679,23559692,14945344
PU sizes: 16x12,0,0,0,0,0,0
PU sizes: 16x8,0,0,0,0,0,0
PU sizes: 16x4,0,0,0,0,0,0
PU sizes: 12x16,0,0,0,0,0,0
PU sizes: 8x32,0,0,0,0,0,0
PU sizes: 8x16,0,0,0,0,0,0
PU sizes: 8x8,33568733,33568706,32733367,33307175,0,33568740
PU sizes: 8x4,0,0,0,0,0,0
PU sizes: 4x16,0,0,0,0,0,0
PU sizes: 4x8,0,0,0,0,0,0
PU sizes: 4x4,71489084,71489048,73083844,68236852,0,71489136
