TU_Depth,fast,faster,medium,superfast,ultrafast,veryfast
TU depth (CU 32): 3,0,0,0,0,0,0
TU depth (CU 16): 0,11878686,11878654,12439437,11484512,20369141,11878657
TU depth (CU 64): 0,0,0,0,0,0,0
TU depth (CU 16): 1,0,0,0,0,0,0
TU depth (CU 64): 3,0,0,0,0,0,0
TU depth (CU 32): 1,0,0,0,0,0,0
TU depth (CU 8): 1,53412363,53412345,54897222,50695758,0,53412418
TU depth (CU 64): 1,0,0,0,0,0,0
TU depth (CU 64): 4,0,0,0,0,0,0
TU depth (CU 32): 0,5906427,5906418,5765471,6103882,7020007,5906434
TU depth (CU 8): 0,25119923,25119892,24864311,25008532,0,25119928
TU depth (CU 32): 2,0,0,0,0,0,0
TU depth (CU 64): 2,0,0,0,0,0,0
TU depth (CU 16): 2,0,0,0,0,0,0
