Intra_Luma_Mode,slow,medium,fast,ultrafast
Intra luma modes: 0,908746,908755,460769,684000
Intra luma modes: 1,502523,502525,312504,437061
Intra luma modes: 2,96654,96656,60218,109617
Intra luma modes: 3,86497,86497,32574,0
Intra luma modes: 4,72765,72767,30704,67233
Intra luma modes: 5,85088,85088,38612,0
Intra luma modes: 6,109964,109964,44992,98622
Intra luma modes: 7,122930,122931,53241,0
Intra luma modes: 8,157557,157557,65770,151587
Intra luma modes: 9,258477,258484,88245,0
Intra luma modes: 10,550431,550433,140044,286919
Intra luma modes: 11,243453,243453,88896,0
Intra luma modes: 12,171962,171965,74495,169516
Intra luma modes: 13,134372,134373,51408,0
Intra luma modes: 14,104918,104918,38531,94750
Intra luma modes: 15,87991,87993,35001,0
Intra luma modes: 16,78807,78809,28036,68453
Intra luma modes: 17,88489,88489,22563,0
Intra luma modes: 18,66730,66730,47157,95408
Intra luma modes: 19,85651,85653,21570,0
Intra luma modes: 20,73980,73980,25598,63672
Intra luma modes: 21,79519,79521,32167,0
Intra luma modes: 22,88415,88415,33199,81116
Intra luma modes: 23,100451,100451,40476,0
Intra luma modes: 24,106419,106417,46573,106754
Intra luma modes: 25,112232,112232,57785,0
Intra luma modes: 26,346539,346547,131079,298232
Intra luma modes: 27,119817,119816,60313,0
Intra luma modes: 28,110965,110970,48353,117580
Intra luma modes: 29,104925,104925,43847,0
Intra luma modes: 30,98598,98600,37515,88998
Intra luma modes: 31,83171,83182,34134,0
Intra luma modes: 32,74124,74131,28256,68136
Intra luma modes: 33,100072,100087,32043,0
Intra luma modes: 34,99757,99757,54676,104362
