Intra_Luma_Mode,fast,faster,medium,superfast,ultrafast,veryfast
Intra luma modes: 0,1161053,1161053,1194704,1109026,226071,1160970
Intra luma modes: 1,614491,614491,635099,591388,164741,614458
Intra luma modes: 2,60501,60501,60607,58328,12147,60500
Intra luma modes: 3,58659,58659,58230,57662,10947,58647
Intra luma modes: 4,58002,58002,57477,57248,12997,57994
Intra luma modes: 5,70159,70159,67966,70126,15690,70158
Intra luma modes: 6,93728,93728,93450,92108,15361,93724
Intra luma modes: 7,103896,103896,104843,98894,18845,103885
Intra luma modes: 8,139951,139951,141968,135536,25690,139956
Intra luma modes: 9,297631,297631,302191,280950,25928,297626
Intra luma modes: 10,631166,631166,640632,608205,48927,631160
Intra luma modes: 11,282263,282263,286654,267391,24802,282244
Intra luma modes: 12,156894,156894,159038,153663,27517,156887
Intra luma modes: 13,113932,113932,112990,109098,17033,113921
Intra luma modes: 14,87048,87048,87194,84205,11841,87049
Intra luma modes: 15,71064,71064,70602,69857,10367,71054
Intra luma modes: 16,63214,63214,63380,62371,9861,63206
Intra luma modes: 17,70504,70504,70672,68512,8576,70512
Intra luma modes: 18,60490,60490,59281,58642,8564,60494
Intra luma modes: 19,67480,67480,67948,66221,8581,67440
Intra luma modes: 20,58874,58874,58162,57012,8646,58869
Intra luma modes: 21,64191,64191,64358,62676,9778,64173
Intra luma modes: 22,75286,75286,75124,72172,10901,75284
Intra luma modes: 23,80573,80573,80462,78111,13244,80558
Intra luma modes: 24,89152,89152,88527,86400,17252,89138
Intra luma modes: 25,108236,108236,109172,103337,16707,108234
Intra luma modes: 26,438662,438662,448510,431491,62802,438678
Intra luma modes: 27,120018,120018,120721,113493,19596,120010
Intra luma modes: 28,97286,97286,96685,93427,20014,97276
Intra luma modes: 29,87806,87806,86611,83765,16229,87790
Intra luma modes: 30,82991,82991,83680,81064,13730,82992
Intra luma modes: 31,65912,65912,65896,64899,12673,65905
Intra luma modes: 32,57513,57513,57705,56813,11140,57492
Intra luma modes: 33,68266,68266,67100,66928,11091,68255
Intra luma modes: 34,68581,68581,67340,68000,11642,68575
