TU_Depth,fast,faster,medium,superfast,ultrafast,veryfast
TU depth (CU 64): 0,0,0,0,0,0,0
TU depth (CU 64): 1,0,0,0,0,0,0
TU depth (CU 64): 2,0,0,0,0,0,0
TU depth (CU 64): 3,0,0,0,0,0,0
TU depth (CU 64): 4,0,0,0,0,0,0
TU depth (CU 32): 0,187926,187926,184497,194518,222093,187934
TU depth (CU 32): 1,0,0,0,0,0,0
TU depth (CU 32): 2,0,0,0,0,0,0
TU depth (CU 32): 3,0,0,0,0,0,0
TU depth (CU 16): 0,357557,357557,373653,345024,599924,357535
TU depth (CU 16): 1,0,0,0,0,0,0
TU depth (CU 16): 2,0,0,0,0,0,0
TU depth (CU 8): 0,756443,756443,745810,752111,0,756400
TU depth (CU 8): 1,1574827,1574827,1617306,1494503,0,1574773
