encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
x265,1080p,Aerial3200_2k,22,fast,1.352566,168112.72,42.0156,43.6295,43.4724,42.207519,1184.96725725,40.764427,29.06866
x265,1080p,Aerial3200_2k,22,faster,1.352555,168111.31,42.0156,43.6295,43.4724,42.207519,1186.7126606,40.989513,28.951616
x265,1080p,Aerial3200_2k,22,medium,1.352049,168048.52,42.0274,43.6261,43.4732,42.217681,1259.27497475,40.5055,31.088987
x265,1080p,Aerial3200_2k,22,superfast,1.35173,168008.88,41.9935,43.6113,43.4491,42.185588,1114.6604765,40.614632,27.444801
x265,1080p,Aerial3200_2k,22,ultrafast,1.377838,171253.88,41.7045,43.5171,43.3349,41.919688,286.6728378,39.896478,7.185417
x265,1080p,Aerial3200_2k,22,veryfast,1.352555,168111.31,42.0156,43.6295,43.4724,42.207519,1186.6510272,40.847424,29.050817
x265,1080p,Aerial3200_2k,27,fast,0.73883,91830.44,38.6412,41.259,41.4809,38.982294,991.354725,41.889039,23.666209
x265,1080p,Aerial3200_2k,27,faster,0.738819,91829.02,38.6412,41.259,41.4809,38.982294,988.7882894,41.95527,23.567678
x265,1080p,Aerial3200_2k,27,medium,0.738674,91811.09,38.647,41.2586,41.4815,38.987381,1053.6173834,41.883355,25.155993
x265,1080p,Aerial3200_2k,27,superfast,0.738454,91783.71,38.5928,41.2452,41.4673,38.938231,930.675443,42.036427,22.139737
x265,1080p,Aerial3200_2k,27,ultrafast,0.7562,93989.36,38.3448,41.2574,41.4479,38.720781,242.1547268,41.789387,5.794646
x265,1080p,Aerial3200_2k,27,veryfast,0.738819,91829.02,38.6412,41.259,41.4809,38.982294,982.0596805,41.684048,23.559605
x265,1080p,Aerial3200_2k,32,fast,0.373201,46385.8,35.5502,39.5883,40.1017,36.08705,814.06906775,42.393271,19.20279
x265,1080p,Aerial3200_2k,32,faster,0.37319,46384.39,35.5502,39.5883,40.1017,36.08705,818.16915475,42.363641,19.313004
x265,1080p,Aerial3200_2k,32,medium,0.373372,46407.04,35.5568,39.5871,40.1003,36.092662,869.5527908,42.516828,20.451967
x265,1080p,Aerial3200_2k,32,superfast,0.373577,46432.53,35.5039,39.5894,40.0972,36.046325,780.3970256,42.943845,18.1725
x265,1080p,Aerial3200_2k,32,ultrafast,0.380781,47327.91,35.2491,39.7081,40.1977,35.837075,208.3074744,42.933682,4.851843
x265,1080p,Aerial3200_2k,32,veryfast,0.37319,46384.39,35.5502,39.5883,40.1017,36.08705,819.15186425,42.532232,19.259555
x265,1080p,Aerial3200_2k,37,fast,0.182494,22682.43,32.8219,38.4756,39.1343,33.569781,697.93029625,42.867159,16.281235
x265,1080p,Aerial3200_2k,37,faster,0.182482,22681.02,32.8219,38.4756,39.1343,33.569781,698.4191348,43.046324,16.224826
x265,1080p,Aerial3200_2k,37,medium,0.182015,22622.96,32.8245,38.4852,39.1395,33.572981,738.9682376,43.137969,17.130344
x265,1080p,Aerial3200_2k,37,superfast,0.18263,22699.43,32.8021,38.4791,39.1316,33.552506,665.5581598,43.212248,15.402072
