config,preset,Linear_MAPE,n,groups,cv
default,fast,13.490223238093199,88,22,5/5
default,faster,14.296621621781005,88,22,5/5
default,superfast,13.554039466971505,88,22,5/5
default,veryfast,13.601747400289272,88,22,5/5
disfilter,fast,14.227066023305449,88,22,5/5
disfilter,faster,16.250309089552783,88,22,5/5
disfilter,superfast,15.799909872325832,88,22,5/5
disfilter,veryfast,13.781935964702091,88,22,5/5
hwlike,fast,11.69544808705334,88,22,5/5
hwlike,faster,13.823932944971528,88,22,5/5
hwlike,superfast,12.352761423797528,88,22,5/5
hwlike,veryfast,14.111281930524628,88,22,5/5
