config,preset,Linear_MAPE,n,groups,cv
default,fast,18.146788806994827,120,30,5/5
default,faster,17.241137973507225,120,30,5/5
default,superfast,17.585158769928388,120,30,5/5
default,veryfast,17.28592029456568,120,30,5/5
disfilter,fast,14.689118519442095,120,30,5/5
disfilter,faster,17.402750586005038,120,30,5/5
disfilter,superfast,16.550342954313184,120,30,5/5
disfilter,veryfast,17.352009421441107,120,30,5/5
hwlike,fast,15.109293641182052,120,30,5/5
hwlike,faster,17.044897646223077,120,30,5/5
hwlike,superfast,16.830125398135916,120,30,5/5
hwlike,veryfast,17.85207239396844,120,30,5/5
