config,preset,qp,video_name,width,height,fps,frames,E_hw_slow,L1_dcache_load_misses:u,L1_dcache_loads:u,L1_dcache_stores:u,L1_icache_load_misses:u,LLC_load_misses:u,LLC_loads:u,LLC_store_misses:u,LLC_stores:u,branch_instructions:u,branch_misses:u,cache_misses:u,cache_references:u,cycles:u,dTLB_load_misses:u,dTLB_loads:u,dTLB_store_misses:u,dTLB_stores:u,instructions:u
default,faster,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4983491964,3.37E+11,1.48E+11,2851795915,121033571,561415912,93456923,400110886,1.31E+11,6564483112,214490906,2128764142,7.53E+11,29694823,3.37E+11,11802631,1.48E+11,1.33E+12
default,faster,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4932721746,3.04E+11,1.35E+11,2811951626,113818733,547000308,83377669,388152859,1.14E+11,5275265336,196787732,2073934666,6.58E+11,29652573,3.03E+11,9866968,1.35E+11,1.16E+12
default,faster,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4813838921,2.72E+11,1.23E+11,2697790822,107393869,541673750,76414519,376374100,99820220268,4130921563,185309428,2053767834,5.76E+11,24989613,2.72E+11,8470797,1.23E+11,1.02E+12
default,faster,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4803490016,2.46E+11,1.11E+11,2740170559,102395711,543140581,70284653,380382803,88505147082,3243622715,173861495,2065015856,5.13E+11,26212465,2.45E+11,8518948,1.11E+11,9.10E+11
default,fast,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4986052905,3.37E+11,1.48E+11,2947864199,121095959,571977724,93086971,405635526,1.31E+11,6563382237,214180983,2243797360,7.59E+11,28935161,3.37E+11,11642961,1.48E+11,1.33E+12
default,fast,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4951360335,3.04E+11,1.35E+11,2820902320,115461322,547382521,84235444,392091544,1.14E+11,5309137770,198489325,2080120751,6.63E+11,28656687,3.03E+11,9724854,1.35E+11,1.17E+12
default,fast,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4835430497,2.72E+11,1.23E+11,2719827410,106367463,536486102,74496411,374917053,99875552185,4143263990,186581126,2044246590,5.77E+11,25519803,2.72E+11,8773465,1.23E+11,1.02E+12
default,fast,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4789424198,2.46E+11,1.11E+11,2827101072,101938346,548607276,71310848,383851905,88496655116,3253807747,174603229,2141336025,5.17E+11,24095576,2.45E+11,8119666,1.11E+11,9.10E+11
default,superfast,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4502247466,3.22E+11,1.41E+11,2984311101,81766249,495719181,65429339,323348622,1.25E+11,6464238036,150546079,2150871524,7.23E+11,31975298,3.22E+11,7794932,1.41E+11,1.27E+12
default,superfast,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4437617322,2.91E+11,1.30E+11,2804223671,76144954,483821287,59776667,310314470,1.10E+11,5237280903,137606648,2000628702,6.35E+11,26846878,2.91E+11,6833242,1.30E+11,1.12E+12
