metric,A_value,B_value,delta_B_minus_A,relative_change_B_over_A
branch-instructions,156234386522.62955,80283.0,-152353275449.55554,-0.9999990258390166
branch-misses,4303541163.377155,0.0,-4097802229.0,-1.0
cache-misses,1613180699.5958333,18878.88125,-1613161820.7145834,-0.9767824197903016
cache-references,31342156230.677082,68530.36666666667,-31342087700.310417,-0.9745687975822328
cache_miss_rate,0.06029816593522017,0.2751751271836912,0.21487696124847105,4.799084422971891
cycles,614802930533.4166,2761477.777083333,-614800169055.6395,-0.9681164891012123
dtlb-load-misses,26472160.30387931,,,
dtlb-loads,951171514.5280173,,,
dtlb-store-misses,,,,
dtlb-stores,,,,
instructions,1541519837409.2917,1790407.9208333334,-1541518047001.3708,-0.9375530621193598
ipc,2.448953890396307,0.7494446400978148,-1.6995092502984925,-0.6366408976324105
l1-dcache-load-misses,9081812404.758333,8736.545833333334,-9081803668.2125,-0.9807903573548338
l1-dcache-loads,560331058925.1708,1197783.8875,-560329861141.2833,-0.968084343040234
l1-dcache-stores,,,,
l1-icache-load-misses,951166923.0315126,780.1434782608695,-952915474.7105263,-0.9875501184866251
l1d_miss_rate,0.015888122137133233,0.007294018045875047,-0.008594104091258187,-0.5285154145313288
llc-load-misses,,,,
llc-loads,,,,
llc-store-misses,,,,
llc-stores,,,,
llc_miss_rate,,,,
qp,29.5,29.5,0.0,0.0
