metric,A_value,B_value,delta_B_minus_A,relative_change_B_over_A
branch-instructions,157125890747.3556,,,
branch-misses,5790616492.810345,,,
cache-misses,326675792.11041665,9946.435416666667,-326665845.675,-0.9698819525055313
cache-references,3160297280.764583,22272.258333333335,-3160275008.50625,-0.9724711156872282
cache_miss_rate,0.20434126073416878,0.4483481761269469,0.24400691539277808,3.9596623366530896
cycles,858937954887.9375,2487751.4229166666,-858935467136.5145,-0.9685289632916538
dtlb-load-misses,43807139.81896552,,,
dtlb-loads,443950204029.43536,,,
dtlb-store-misses,13067712.556034483,,,
dtlb-stores,199241234363.2888,,,
instructions,1586000178877.5667,1138439.64375,-1585999040437.9229,-0.9651432551733329
ipc,1.810990339560335,0.4635558796143359,-1.347434459945999,-0.7184676721713964
l1-dcache-load-misses,8128693251.064584,37804.81041666667,-8128655446.254167,-0.9705868450088518
l1-dcache-loads,429680757124.92706,783385.6,-429679973739.3271,-0.9678349400215321
l1-dcache-stores,192963390496.79584,282351.51875,-192963108145.27707,-0.968809199306959
l1-icache-load-misses,7919743156.372916,7488.427083333333,-7919735667.945833,-0.9788347851794721
l1d_miss_rate,0.01970648663767585,0.048257663245482224,0.028551176607806376,1.619044405651396
llc-load-misses,147177252.9039666,3142.8527918781724,-154192129.32569975,-0.9710565777579895
llc-loads,811338629.5458333,12818.516666666666,-811325811.0291667,-0.9644073193280356
llc-store-misses,120903362.01077586,,,
llc-stores,601144540.4806035,,,
llc_miss_rate,0.28147204420046185,0.23199606672481804,-0.05587947817062036,0.18410538366556597
qp,29.5,29.5,0.0,0.0
