value,unit,event,time,percent,metric,metric_desc,vendor,config,config_id,preset,qp,sequence,src_res,fps,bit,chroma,enc_res,target_fps,frames,test_type
1321944926047.0,,instructions,80831714494.0,45.47,2.18,insn per cycle,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
605394059543.0,,cycles,80801894890.0,45.45,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
20867638392.0,,cache-references,80779038451.0,45.44,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
1243919760.0,,cache-misses,80770294125.0,45.44,5.961,of all cache refs,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
442679958664.0,,l1-dcache-loads,80786020456.0,45.45,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
5355456001.0,,l1-dcache-load-misses,80819882605.0,45.47,1.21,of all L1-dcache accesses,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
,,l1-dcache-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
654517928.0,,l1-icache-load-misses,80852039044.0,45.48,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
,,llc-loads,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
,,llc-load-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
,,llc-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
,,llc-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
130509940277.0,,branch-instructions,80887866973.0,45.5,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
5120831042.0,,branch-misses,80902222540.0,45.52,3.92,of all branches,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
455587987.0,,dtlb-loads,80888862765.0,45.51,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
20767815.0,,dtlb-load-misses,80859639367.0,45.49,4.56,of all dTLB cache accesses,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
,,dtlb-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
,,dtlb-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Aerial3200,1920x1080,5994,8,420,3200x1920,60,130,extended
1347702331309.0,,instructions,79701685868.0,45.46,2.18,insn per cycle,amd,A,dis_deblock_en_sao,faster,22,Boat,1920x1080,5994,8,420,1920x1080,60,130,extended
618144854345.0,,cycles,79683951846.0,45.45,,,amd,A,dis_deblock_en_sao,faster,22,Boat,1920x1080,5994,8,420,1920x1080,60,130,extended
21582896681.0,,cache-references,79683348578.0,45.44,,,amd,A,dis_deblock_en_sao,faster,22,Boat,1920x1080,5994,8,420,1920x1080,60,130,extended
1283302599.0,,cache-misses,79709619902.0,45.46,5.946,of all cache refs,amd,A,dis_deblock_en_sao,faster,22,Boat,1920x1080,5994,8,420,1920x1080,60,130,extended
460516335416.0,,l1-dcache-loads,79749165490.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,Boat,1920x1080,5994,8,420,1920x1080,60,130,extended
