vendor,config,config_id,preset,qp,sequence,branch-instructions,branch-misses,cache-misses,cache-references,cycles,dtlb-load-misses,dtlb-loads,dtlb-store-misses,dtlb-stores,instructions,l1-dcache-load-misses,l1-dcache-loads,l1-dcache-stores,l1-icache-load-misses,llc-load-misses,llc-loads,llc-store-misses,llc-stores,ipc,cache_miss_rate,l1d_miss_rate,llc_miss_rate
amd,A,dis_deblock_en_sao,fast,22,Aerial3200,130468296943.0,5241223743.0,2203347494.0,22921917392.0,610551073915.0,44380696.0,621034208.0,,,1322002459544.0,5596515456.0,443412451662.0,,685781050.0,,,,,2.165261050262352,0.09612404827743566,0.012621466616517247,
amd,A,dis_deblock_en_sao,fast,22,Boat,133588555391.0,5557787657.0,1179775980.0,21874477512.0,615381740365.0,24999367.0,670479098.0,,,1348771118429.0,5650125006.0,460277687318.0,,710126165.0,,,,,2.191763307161188,0.05393390444881681,0.012275470138304576,
amd,A,dis_deblock_en_sao,fast,22,BoxingPractice,410460699074.0,13394423118.0,4030778690.0,81496981670.0,1751450458505.0,68484347.0,2138538319.0,,,4175680694704.0,21508066412.0,1519167870540.0,,2354185788.0,,,,,2.3841272097803268,0.04945923894852387,0.014157794427520897,
amd,A,dis_deblock_en_sao,fast,22,Crosswalk,409258927917.0,12405599034.0,4694654485.0,85294057806.0,1712028138214.0,66810718.0,1823478242.0,,,4155205091073.0,22631365352.0,1523350847117.0,,3024447088.0,,,,,2.4270658865500536,0.05504081533649059,0.014856305357909327,
amd,A,dis_deblock_en_sao,fast,22,CrowdRun,158437979092.0,6958772574.0,1223960530.0,23258705657.0,736022027234.0,24347964.0,514324599.0,,,1585790331412.0,5722576703.0,530677910630.0,,794026631.0,,,,,2.1545419467559457,0.052623759380678765,0.010783521583188533,
amd,A,dis_deblock_en_sao,fast,22,DinnerSceneCropped,138650603821.0,5543812055.0,1168775578.0,22990073047.0,606739361797.0,23746743.0,531441680.0,,,1385896339358.0,5704123596.0,485168361888.0,,699404674.0,,,,,2.284170809774637,0.0508382716144747,0.011756998279530815,
amd,A,dis_deblock_en_sao,fast,22,FoodMarket,129829919350.0,5064671993.0,1123171889.0,22284293625.0,576273647170.0,22434051.0,552143472.0,,,1310766864442.0,5640209043.0,461065098874.0,,668908163.0,,,,,2.274556316914706,0.0504019516122311,0.0122329993243348,
amd,A,dis_deblock_en_sao,fast,22,FoodMarket2,421409083018.0,14182155022.0,4552594147.0,85204888617.0,1828413872471.0,81028032.0,1950936924.0,,,4304730512006.0,22102094839.0,1571931614222.0,,2472816374.0,,,,,2.354352357974836,0.05343113782431107,0.01406046843198013,
amd,A,dis_deblock_en_sao,fast,22,MeridianTalk_sdr,104632602663.0,3311243450.0,1125094175.0,20284618945.0,434448472201.0,16691061.0,533874860.0,,,1052178191382.0,5373883163.0,381245209198.0,,585405785.0,,,,,2.4218710818603224,0.055465383798956054,0.014095608373164027,
amd,A,dis_deblock_en_sao,fast,22,Motorcycle,119066956826.0,4526150797.0,1169639019.0,21331954072.0,542884909120.0,21273773.0,443821579.0,,,1206357966491.0,5464809546.0,420170386708.0,,621101573.0,,,,,2.2221247012492387,0.05483037395693864,0.013006174920646664,
amd,A,dis_deblock_en_sao,fast,22,MountainBike,122721123936.0,4773016156.0,1284982369.0,22570236176.0,564389995490.0,22528626.0,548170333.0,,,1243081274129.0,5696160104.0,432619239263.0,,813618606.0,,,,,2.2025218094976404,0.05693260624212619,0.013166682354912937,
amd,A,dis_deblock_en_sao,fast,22,Neon1224,343940674547.0,9547288945.0,3800343324.0,74476762827.0,1413855255540.0,52139626.0,1870141795.0,,,3488173015424.0,20470348006.0,1284601805754.0,,2141589186.0,,,,,2.4671358696415826,0.051027235606731614,0.015935169882456208,
amd,A,dis_deblock_en_sao,fast,22,NocturneDance_3840x2160p_8bit,360868721345.0,10694849277.0,942749205.0,60618489289.0,1340211297722.0,56521922.0,1973412616.0,,,3718814553598.0,20437720892.0,1367605950816.0,,1375229875.0,,,,,2.7747971979634762,0.015552172547643378,0.014944159083108382,
amd,A,dis_deblock_en_sao,fast,22,OldTownCross,161034833421.0,7008389229.0,1336573252.0,23927825278.0,727555886978.0,28456362.0,710995720.0,,,1600253599586.0,5784041455.0,538566674632.0,,933591351.0,,,,,2.1994923389773753,0.05585853442472634,0.010739694317239751,
amd,A,dis_deblock_en_sao,fast,22,PedestrianArea,106369639822.0,3614901538.0,1177651186.0,21056312889.0,458808469802.0,19854566.0,484902289.0,,,1080774705731.0,5486768444.0,390485988236.0,,515600817.0,,,,,2.3556119314828936,0.05592865152641302,0.01405112759304422,
amd,A,dis_deblock_en_sao,fast,22,PierSeaSide,388675951992.0,11831398156.0,4291316238.0,77642058395.0,1613277828780.0,78697593.0,2351098544.0,,,3912321319380.0,20658409390.0,1425050089992.0,,1894680011.0,,,,,2.425075984797109,0.055270510940966404,0.014496619827669336,
amd,A,dis_deblock_en_sao,fast,22,RitualDance,82446116916.0,2267657225.0,1059475080.0,18082597648.0,338470156657.0,17063505.0,432026615.0,,,832790222310.0,5039570528.0,305514014404.0,,422103347.0,,,,,2.460453915746361,0.05859086734240209,0.01649538250424043,
amd,A,dis_deblock_en_sao,fast,22,Riverbed,121041170338.0,4496834167.0,1112606724.0,22450343376.0,539247849097.0,21832220.0,619280205.0,,,1234271912185.0,5631168293.0,438615026538.0,,671625561.0,,,,,2.2888768388262575,0.04955856154919241,0.012838521145631877,
amd,A,dis_deblock_en_sao,fast,22,RushFieldCuts,122108566190.0,4746305316.0,1214938990.0,22481153812.0,554213073096.0,21837184.0,590924455.0,,,1236248161058.0,5647428434.0,435727763117.0,,995167531.0,,,,,2.2306369536755026,0.05404255494001777,0.012960910256442791,
amd,A,dis_deblock_en_sao,fast,22,Skater227,,,28266.0,91155.0,2077173.0,,,,,2358877.0,13605.0,1235499.0,,568.0,,,,,1.1356189397801724,0.3100872140858976,0.011011745051999233,
amd,A,dis_deblock_en_sao,fast,22,Tango,471172766431.0,16265059250.0,4600544801.0,85307973583.0,1999335727515.0,69370581.0,2563106954.0,,,4765097880043.0,22556172500.0,1699148836325.0,,3701203654.0,,,,,2.3833405337909914,0.05392866115292167,0.01327498334329885,
amd,A,dis_deblock_en_sao,fast,22,TimeLapse,393525750026.0,12663254617.0,4298771070.0,77958693214.0,1672303363034.0,59835340.0,2363675726.0,,,3995465868070.0,21010840140.0,1446722692230.0,,3273196478.0,,,,,2.389199206548966,0.05514165121007976,0.014523059777000923,
amd,A,dis_deblock_en_sao,fast,22,ToddlerFountain,133644891436.0,5559570696.0,1303877738.0,22379160572.0,613218714440.0,23204248.0,539661287.0,,,1342822144566.0,5784246229.0,465806814821.0,,670303635.0,,,,,2.1897931569037064,0.05826303152904515,0.012417693440622518,
amd,A,dis_deblock_en_sao,fast,22,TreesAndGrass_1920_1080,147780649926.0,6136175815.0,1162717290.0,22049272931.0,689923878580.0,23433432.0,589858477.0,,,1486645499370.0,5568234139.0,495170602940.0,,729941304.0,,,,,2.1547964138156965,0.05273268164617287,0.011245082211947676,
amd,A,dis_deblock_en_sao,fast,22,TunnelFlag,111157966018.0,4055207003.0,1074559488.0,21176293625.0,489426169163.0,20499073.0,537323122.0,,,1125620714463.0,5414505596.0,400627570066.0,,635469155.0,,,,,2.2998784809320645,0.0507435109764162,0.013515059872459616,
amd,A,dis_deblock_en_sao,fast,22,Vertical_Carnaby,77492997039.0,1895223732.0,238901059.0,14059906292.0,277360720630.0,11072361.0,342679930.0,,,803984264328.0,4964806787.0,296327662634.0,,334849386.0,,,,,2.898695469574141,0.016991653716492635,0.016754449256842174,
amd,A,dis_deblock_en_sao,fast,22,Vertical_bees,89921947527.0,2747727229.0,1052507650.0,19716054733.0,383726969578.0,15016752.0,465280322.0,,,918192571181.0,5225377639.0,335742656919.0,,584941959.0,,,,,2.39282782805382,0.05338327897002395,0.015563639386640866,
amd,A,dis_deblock_en_sao,fast,22,WalkingInStreet,140571762839.0,5538968519.0,305353890.0,15130427037.0,548771809224.0,20229536.0,455537466.0,,,1421233322655.0,4831092698.0,455561747817.0,,344679605.0,,,,,2.589843900080653,0.02018144558995503,0.010604693482607013,
amd,A,dis_deblock_en_sao,fast,22,WorldCup_1920x1080_30p,79220420162.0,2192020293.0,1024672097.0,18219675631.0,334309762469.0,14326918.0,486928249.0,,,809168037750.0,5030783724.0,298175393322.0,,570252404.0,,,,,2.420414024927055,0.056239864954377355,0.016871894316803165,
amd,A,dis_deblock_en_sao,fast,22,WorldCup_far_1920x1080_30p,106749165977.0,3919511218.0,1224524355.0,21262351865.0,480575108865.0,20922137.0,515108038.0,,,1085872104129.0,5491291115.0,387941192725.0,,773859455.0,,,,,2.259526313573673,0.057591199824685996,0.014154957550209455,
amd,A,dis_deblock_en_sao,fast,27,Aerial3200,113930607161.0,4088513611.0,1174686446.0,20939549978.0,509499854584.0,20167871.0,630008648.0,,,1160367350914.0,5324813366.0,401509337610.0,,652436584.0,,,,,2.2774635566116594,0.05609893465877617,0.013261991359145367,
amd,A,dis_deblock_en_sao,fast,27,Boat,116747139558.0,4465512917.0,1109402311.0,20849249975.0,522565723596.0,21044686.0,646746630.0,,,1181112406787.0,5346147211.0,416339728944.0,,698687196.0,,,,,2.2602179083986917,0.05321065804910328,0.012840828869634698,
amd,A,dis_deblock_en_sao,fast,27,BoxingPractice,333816977954.0,8471712722.0,3674816972.0,72949219544.0,1338899727434.0,54125364.0,1871836358.0,,,3369347287758.0,19930645838.0,1254270382300.0,,2005001570.0,,,,,2.5165045736586644,0.05037500051365868,0.015890230782179892,
amd,A,dis_deblock_en_sao,fast,27,Crosswalk,328536497910.0,7045185480.0,4538480172.0,71674101937.0,1246211969405.0,44739589.0,1832551796.0,,,3261742442691.0,20148649666.0,1217920845471.0,,2297221675.0,,,,,2.617325561596322,0.06332106087620361,0.016543480424795604,
