vendor,config,config_id,preset,qp,sequence,branch-instructions,branch-misses,cache-misses,cache-references,cycles,dtlb-load-misses,dtlb-loads,dtlb-store-misses,dtlb-stores,instructions,l1-dcache-load-misses,l1-dcache-loads,l1-dcache-stores,l1-icache-load-misses,llc-load-misses,llc-loads,llc-store-misses,llc-stores,ipc,cache_miss_rate,l1d_miss_rate,llc_miss_rate
intel,A,dis_deblock_en_sao,fast,22,Aerial3200,130287133883.0,6519986952.0,204152368.0,2185307518.0,749447400124.0,33845578.0,334839024383.0,11621025.0,146532988096.0,1319902419215.0,4919576869.0,335316199407.0,146822095821.0,2921990154.0,113954117.0,544684671.0,90412248.0,404561355.0,1.7611675202243884,0.09342042999368842,0.014671456009880146,0.20921116944743245
intel,A,dis_deblock_en_sao,fast,22,Boat,133411332113.0,7045195880.0,211818249.0,2349353001.0,774726909673.0,37036158.0,344127081528.0,12715056.0,151512945714.0,1345989302287.0,4973816864.0,344425902436.0,151763181663.0,2959219881.0,111583158.0,599828960.0,97183967.0,411024537.0,1.7373725960482267,0.09016024791073958,0.01444089085292944,0.18602495951512577
intel,A,dis_deblock_en_sao,fast,22,BoxingPractice,409854496352.0,17368089928.0,669291616.0,8807520697.0,2339792568176.0,114824647.0,1121548264228.0,32235809.0,508973062086.0,4169443774226.0,20112070837.0,1122568445277.0,509772938027.0,10794904338.0,387121105.0,2182106188.0,291730286.0,1576054031.0,1.7819715435186274,0.07599092173896028,0.017916119878140024,0.17740708822003487
intel,A,dis_deblock_en_sao,fast,22,Crosswalk,408504391339.0,16432100304.0,715153103.0,9365383351.0,2312799176792.0,117870318.0,1124410446953.0,31678493.0,512213580549.0,4148976039276.0,20547668072.0,1125522545135.0,513074417761.0,10918212985.0,401601705.0,2545432553.0,301431730.0,1576357990.0,1.7939197146510983,0.07636132726202165,0.018256114158544397,0.15777346153866054
intel,A,dis_deblock_en_sao,fast,22,CrowdRun,160181546178.0,8783959228.0,203669885.0,1994416381.0,1076306138381.0,32847904.0,476585443645.0,15415162.0,196084036327.0,1918333215173.0,4936160700.0,476926433027.0,196270302571.0,13526972082.0,109018840.0,696472259.0,126453735.0,549632188.0,1.782330460419554,0.10212004220396544,0.010349941538510933,0.1565300535537913
intel,A,dis_deblock_en_sao,fast,22,DinnerSceneCropped,140410347172.0,7271233832.0,229595857.0,1976257830.0,958013307303.0,33883226.0,435962704420.0,14103567.0,182118018122.0,1694107323531.0,4864152087.0,436687748337.0,182484168237.0,13531560777.0,128316052.0,673587380.0,137565139.0,537838942.0,1.7683546884126824,0.11617707644958451,0.011138741825305902,0.19049652028813246
intel,A,dis_deblock_en_sao,fast,22,FoodMarket,129703373039.0,6383271733.0,205370095.0,2314075738.0,747859010077.0,33984864.0,343803747569.0,12257250.0,153638729249.0,1308579609216.0,5035721763.0,344172663286.0,153890574628.0,3047820418.0,108382927.0,568122451.0,94487580.0,405294304.0,1.7497677925699764,0.0887482166756981,0.014631382152554703,0.1907738847659094
intel,A,dis_deblock_en_sao,fast,22,FoodMarket2,420725441863.0,18392810125.0,657891442.0,9268947935.0,2437857645542.0,125037071.0,1155020092096.0,32643210.0,526560381976.0,4297490201398.0,20557906783.0,1156014340240.0,527453352927.0,11438425614.0,373714278.0,2399641851.0,281716954.0,1626883984.0,1.762814251790553,0.07097800598445157,0.017783435782234305,0.15573752301588775
intel,A,dis_deblock_en_sao,fast,22,MeridianTalk_sdr,106299287944.0,4605610063.0,187823048.0,2046177198.0,731211674536.0,27931303.0,343692274442.0,10873339.0,145258099974.0,1292959684063.0,4595974734.0,343803174542.0,145384383025.0,12085454725.0,108604810.0,672636289.0,103089332.0,532972804.0,1.768242670473587,0.09179217136403647,0.013368040420576576,0.16146141945665973
intel,A,dis_deblock_en_sao,fast,22,Motorcycle,117318376619.0,5664443073.0,474188150.0,618400331.0,601689900077.0,10647590.0,310245925152.0,6380141.0,136971766303.0,1201296494404.0,4677937318.0,310889748300.0,137349364489.0,8962680996.0,74978668.0,92830665.0,92131874.0,110680331.0,1.9965375756685737,0.766798021005587,0.015046933337557081,0.8076928889823206
