index,qp,preset,seqname,config,E_hw_slow,instructions,cycles,branches,branch-misses,cache-references,cache-misses,l1-dcache-loads,l1-dcache-load-misses,l1-dcache-stores,l1-icache-load-misses,llc-loads,llc-load-misses,llc-stores,llc-store-misses,dtlb-loads,dtlb-load-misses,dtlb-stores,dtlb-store-misses
0,22,fast,Aerial3200,A,7.1671,1.3199E+12,7.49447E+11,1.30287E+11,6519986952,2185307518,204152368,3.35316E+11,4919576869,1.46822E+11,2921990154,544684671,113954117,404561355,90412248,3.34839E+11,33845578,1.46533E+11,11621025
1,22,fast,Boat,A,7.1358,1.34599E+12,7.74727E+11,1.33411E+11,7045195880,2349353001,211818249,3.44426E+11,4973816864,1.51763E+11,2959219881,599828960,111583158,411024537,97183967,3.44127E+11,37036158,1.51513E+11,12715056
2,22,fast,BoxingPractice,A,13.6248,4.16944E+12,2.33979E+12,4.09854E+11,17368089928,8807520697,669291616,1.12257E+12,20112070837,5.09773E+11,10794904338,2182106188,387121105,1576054031,291730286,1.12155E+12,114824647,5.08973E+11,32235809
3,22,fast,Crosswalk,A,13.055,4.14898E+12,2.3128E+12,4.08504E+11,16432100304,9365383351,715153103,1.12552E+12,20547668072,5.13074E+11,10918212985,2545432553,401601705,1576357990,301431730,1.12441E+12,117870318,5.12214E+11,31678493
4,22,fast,CrowdRun,A,7.2255,1.91833E+12,1.07631E+12,1.60182E+11,8783959228,1994416381,203669885,4.76926E+11,4936160700,1.9627E+11,13526972082,696472259,109018840,549632188,126453735,4.76585E+11,32847904,1.96084E+11,15415162
5,22,fast,DinnerSceneCropped,A,6.3792,1.69411E+12,9.58013E+11,1.4041E+11,7271233832,1976257830,229595857,4.36688E+11,4864152087,1.82484E+11,13531560777,673587380,128316052,537838942,137565139,4.35963E+11,33883226,1.82118E+11,14103567
6,22,fast,FoodMarket,A,13.9507,1.30858E+12,7.47859E+11,1.29703E+11,6383271733,2314075738,205370095,3.44173E+11,5035721763,1.53891E+11,3047820418,568122451,108382927,405294304,94487580,3.43804E+11,33984864,1.53639E+11,12257250
7,22,fast,FoodMarket2,A,6.8418,4.29749E+12,2.43786E+12,4.20725E+11,18392810125,9268947935,657891442,1.15601E+12,20557906783,5.27453E+11,11438425614,2399641851,373714278,1626883984,281716954,1.15502E+12,125037071,5.2656E+11,32643210
8,22,fast,MeridianTalk_sdr,A,6.3813,1.29296E+12,7.31212E+11,1.06299E+11,4605610063,2046177198,187823048,3.43803E+11,4595974734,1.45384E+11,12085454725,672636289,108604810,532972804,103089332,3.43692E+11,27931303,1.45258E+11,10873339
9,22,fast,Motorcycle,A,7.0665,1.2013E+12,6.0169E+11,1.17318E+11,5664443073,618400331,474188150,3.1089E+11,4677937318,1.37349E+11,8962680996,92830665,74978668,110680331,92131874,3.10246E+11,10647590,1.36972E+11,6380141
10,22,fast,MountainBike,A,7.0957,1.24043E+12,7.10532E+11,1.22596E+11,6075640654,2252495006,209294180,3.20398E+11,4967808979,1.42874E+11,2845447291,547569090,110830941,396585859,93467766,3.20233E+11,37067991,1.42768E+11,12685962
11,22,fast,Neon1224,A,13.4567,4.23333E+12,2.41353E+12,3.50328E+11,13358467487,7679820282,668080820,1.15059E+12,18029458147,4.94088E+11,44807762407,2485766055,409177589,2029572745,369393425,1.14967E+12,89699794,4.93806E+11,37061581
12,22,fast,NocturneDance_3840x2160p_8bit,A,13.3742,3.71877E+12,2.16194E+12,3.64066E+11,14555271758,8633796464,852485867,1.00803E+12,19538397129,4.62428E+11,10870586087,2201514789,436392005,1566081498,314383888,1.00704E+12,169272298,4.61646E+11,48098084
13,22,fast,OldTownCross,A,7.1316,1.59763E+12,9.12487E+11,1.60695E+11,8811813388,2438675833,251406287,4.07545E+11,5387104540,1.77429E+11,3118537819,622000910,132911243,423940240,114506172,4.07345E+11,39275943,1.77205E+11,14695620
14,22,fast,PedestrianArea,A,6.3747,1.07873E+12,6.08589E+11,1.06243E+11,4633179951,2161890755,191289620,2.89381E+11,4895017892,1.3085E+11,2698446705,542227159,105386505,390713873,83559856,2.89122E+11,33939352,1.30672E+11,10984717
15,22,fast,PierSeaSide,A,13.2578,3.9054E+12,2.207E+12,3.87858E+11,15746158831,9392196287,626174778,1.05488E+12,19412905099,4.80854E+11,11045372290,2439126035,352738616,1616281112,266990296,1.05392E+12,111616898,4.79998E+11,31546524
