index,preset,qp,seq_name,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw,Bc,Bcm,Bi,Bim,E_hw_slow,config,path,__qp_int
1,fast,22,Aerial3200_2k,1350000000000.0,345000000000.0,161000000000.0,7552893872,2235759042,1754759822,343525,60591621,80329492,90988307784.0,9217561594,7749707966,661936705,7.1671,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_Aerial3200_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,22
2,fast,22,Boat_2k,1360000000000.0,341000000000.0,156000000000.0,7282266979,2139178047,1724380146,354830,59283474,80455290,93436516267.0,9460173837,7541893688,642432412,7.1358,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_Boat_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,22
3,fast,22,BoxingPractice_4k,4200000000000.0,1110000000000.0,523000000000.0,27939288777,8304787898,6853285645,2372575,315816206,348473413,273000000000.0,24856746506,26484388851,2556365952,13.6248,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_BoxingPractice_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,22
4,fast,22,Crosswalk_4k,4180000000000.0,1110000000000.0,525000000000.0,27939920552,8571329287,6939410282,2305223,316581944,342174838,271000000000.0,23409646849,26722019893,2618282705,13.055,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_Crosswalk_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,22
5,fast,22,CrowdRun_1080p50,1590000000000.0,395000000000.0,179000000000.0,7630186373,2248979750,1763192148,348869,61840500,83379545,113000000000.0,11512707241,8325863495,663901637,7.2255,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_CrowdRun_1920x1080p50_1920x1080_50fps_130f.out,22
6,fast,22,DinnerSceneCropped_2k,1390000000000.0,359000000000.0,166000000000.0,7522278902,2236967798,1758617550,340634,60198918,79628431,95786703958.0,9580135551,7848616053,671952670,6.3792,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_DinnerSceneCropped_1920x1080_2997fps_8bit_420_1920x1080_30fps_130f.out,22
7,fast,22,FoodMarket2_4k,4330000000000.0,1140000000000.0,541000000000.0,28983336585,8418578949,6918945454,2314239,317455758,343045428,280000000000.0,26201231241,27270906402,2581802964,13.9507,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_FoodMarket2_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,22
8,fast,22,FoodMarket_2k,1320000000000.0,340000000000.0,158000000000.0,7412769755,2165782830,1743042177,319023,59879136,68643352,89018958053.0,8784686266,7591212318,661926713,6.8418,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_FoodMarket_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,22
9,fast,22,MeridianTalk_sdr_2k,1060000000000.0,281000000000.0,131000000000.0,6809055632,2078822151,1698575005,312363,57486505,68434386,70022438389.0,6127363006,6655668383,648410388,6.3813,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_MeridianTalk_sdr_1920x1080p_5994_8bit_1920x1080_60fps_130f.out,22
10,fast,22,Motorcycle_2k,1220000000000.0,309000000000.0,143000000000.0,7164525938,2045308581,1699752450,319831,56234614,64604004,82559076683.0,7961177067,7021314106,636286585,7.0665,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_Motorcycle_1920x1080_30fps_8bit_1920x1080_30fps_130f.out,22
11,fast,22,MountainBike_2k,1520000000000.0,379000000000.0,165000000000.0,13064076138,1931344911,1667165572,325264,56246396,62613673,86382980348.0,8345753697,7186250878,639309386,7.0957,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_MountainBike_1920x1080_30fps_8bit_1920x1080_30fps_130f.out,22
12,fast,22,Neon1224_4k,3520000000000.0,944000000000.0,446000000000.0,25688665230,7706410747,6604336384,2255633,303278721,330315499,225000000000.0,19089270505,23724926388,2482743199,13.4567,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_Neon1224_3840x2160_2997fps_3840x2160_30fps_130f.out,22
13,fast,22,NocturneDance_4k,3750000000000.0,1000000000000.0,475000000000.0,27789345357,8097769716,6777240791,2243592,310655838,334695750,239000000000.0,21440355271,24751735273,2516855613,13.3742,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_NocturneDance_3840x2160p_8bit_60fps_3840x2160_60fps_130f.out,22
14,fast,22,OldTownCross_1080p50,1610000000000.0,402000000000.0,182000000000.0,7686957595,2184557085,1753354765,318579,58016576,65694427,114000000000.0,11757595074,8385026135,666280197,7.1316,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_OldTownCross_1920x1080p50_1920x1080_50fps_130f.out,22
15,fast,22,PedestrianArea_1080p25,1090000000000.0,287000000000.0,134000000000.0,6989931922,2099302023,1703791742,340396,58512939,77954797,71330902442.0,6634175302,6742358531,638340826,6.3747,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_PedestrianArea_1920x1080p25_1920x1080_25fps_130f.out,22
16,fast,22,PierSeaSide_4k,3940000000000.0,1050000000000.0,493000000000.0,26507480658,7925310894,6687761440,2429602,312628290,338122662,257000000000.0,22742994271,25485589973,2542796216,13.2578,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_PierSeaSide_3840x2160_2997fps_8bit_420_3840x2160_30fps_130f.out,22
17,fast,22,RitualDance_2k,840000000000.0,226000000000.0,106000000000.0,6129690419,1851494557,1614878677,328643,51527068,61490449,54136844099.0,4566124484,5720015676,604839678,6.3007,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_RitualDance_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,22
18,fast,22,Riverbed_1080p25,1520000000000.0,387000000000.0,169000000000.0,13490167935,1991842056,1691729876,330318,55971289,61085204,83273995272.0,8037378704,7381121127,652984866,6.4294,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_Riverbed_1920x1080p25_1920x1080_25fps_130f.out,22
19,fast,22,RushFieldCuts_2k,1250000000000.0,321000000000.0,150000000000.0,7316938512,2131271285,1716217338,336437,59139989,80579682,83638457871.0,8173673896,7348847769,655041672,7.0231,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_RushFieldCuts_1920x1080_2997_1920x1080_30fps_130f.out,22
20,fast,22,Skater227_2k,768000000000.0,210000000000.0,99252705518.0,5963360753,1899735351,1631804025,325563,56951238,75419655,48607485444.0,3589071810,5518997880,615414842,6.3206,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_Skater227_1920x1080_30fps_1920x1080_30fps_130f.out,22
